Speaker,DLGFile,Priority,StrRefCount,LegacyClips,HasLegacyVO,Notes
Bjaheir,CHHELP.DLG,3,796,0,No,
Bjaheir,CUTEKI.DLG,3,796,0,No,
Bjaheir,DENKOD.DLG,3,796,0,No,
Bjaheir,DHANIA.DLG,3,796,0,No,
Bjaheir,DREPPI3.DLG,3,796,0,No,
Bjaheir,EMITAR.DLG,3,796,0,No,
Bjaheir,FLAM10.DLG,3,796,0,No,
Bjaheir,FRIEND.DLG,3,796,0,No,
Bjaheir,GHAST3.DLG,3,796,0,No,
Bjaheir,GLART.DLG,3,796,0,No,
Bjaheir,HALFG6.DLG,3,796,0,No,
Bjaheir,KARAN.DLG,3,796,0,No,
Bjaheir,MALKAL.DLG,3,796,0,No,
Bjaheir,NOBL7.DLG,3,796,0,No,
Bjaheir,NOBWBAS.DLG,3,796,0,No,
Bjaheir,OOGIEW.DLG,3,796,0,No,
Bjaheir,PANGWA.DLG,3,796,0,No,
Bjaheir,PARDA.DLG,3,796,0,No,
Bjaheir,PHLYDI3.DLG,3,796,0,No,
Bjaheir,POE.DLG,3,796,0,No,
Bjaheir,POGHM10.DLG,3,796,0,No,
Bjaheir,POGHM9.DLG,3,796,0,No,
Bjaheir,RALEO.DLG,3,796,0,No,
Bjaheir,SEWERC.DLG,3,796,0,No,
Bjaheir,SLAVE.DLG,3,796,0,No,
Bjaheir,STEPHA.DLG,3,796,0,No,
Bjaheir,TRIADO.DLG,3,796,0,No,
Bjaheir,WARNER.DLG,3,796,0,No,
Bjaheir,WATCHM.DLG,3,796,0,No,
Jaheira,JAHEIRA.DLG,3,779,0,No,
Jaheira,KESHEE.DLG,3,779,0,No,
Jaheira,LAUDEN.DLG,3,779,0,No,
Jaheira,MTOWBEZ.DLG,3,779,0,No,
Jaheira,MTOWNAZ.DLG,3,779,0,No,
Jaheira,NOOBER.DLG,3,779,0,No,
Jaheira,PALLON.DLG,3,779,0,No,
Jaheira,R101.DLG,3,779,0,No,
Jaheira,SILVGU.DLG,3,779,0,No,
Jaheira,SIRLOT.DLG,3,779,0,No,
Jaheira,SKIEP.DLG,3,779,0,No,
Jaheira,SORREL.DLG,3,779,0,No,
Jaheira,SSUNGU.DLG,3,779,0,No,
Jaheira,SURREY.DLG,3,779,0,No,
Jaheira,TAMOKO3.DLG,3,779,0,No,
Jaheira,TARNES.DLG,3,779,0,No,
Jaheira,TELANO.DLG,3,779,0,No,
Jaheira,TELLAN.DLG,3,779,0,No,
Jaheira,TERSUS.DLG,3,779,0,No,
Jaheira,TRIADO.DLG,3,779,0,No,
Jaheira,VITIAR.DLG,3,779,0,No,
Jaheira,WARNER.DLG,3,779,0,No,
Jaheira,XZAR.DLG,3,779,0,No,
Jaheira,YESLIC.DLG,3,779,0,No,
Nalia,NALIA.DLG,3,701,0,No,
Nalia,NALIAJ.DLG,3,701,0,No,
Nalia,PNASHK.DLG,3,701,0,No,
Nalia,THIEFG.DLG,3,701,0,No,
Nalia,VOLO.DLG,3,701,0,No,
Ohbnoob,OHBNOOB.DLG,3,693,0,No,
Ohbnoob,OHBNOSHU.DLG,3,693,0,No,
Baerie,BAERIE.DLG,3,676,0,No,
Baerie,ELDOTD.DLG,3,676,0,No,
Baerie,FARM4.DLG,3,676,0,No,
Baerie,HALFTR.DLG,3,676,0,No,
Baerie,HOUSG4.DLG,3,676,0,No,
Baerie,LENORE.DLG,3,676,0,No,
Baerie,MONKD2.DLG,3,676,0,No,
Baerie,MONKDE.DLG,3,676,0,No,
Baerie,MTOB3.DLG,3,676,0,No,
Baerie,NOBL2.DLG,3,676,0,No,
Baerie,PIQUE.DLG,3,676,0,No,
Baerie,POGHM3.DLG,3,676,0,No,
Baerie,POGHM4.DLG,3,676,0,No,
Baerie,R179.DLG,3,676,0,No,
Baerie,READ2.DLG,3,676,0,No,
Baerie,SATOS.DLG,3,676,0,No,
Baerie,SHELTO.DLG,3,676,0,No,
Baerie,SHOPNYMP.DLG,3,676,0,No,
Baerie,UTOR.DLG,3,676,0,No,
Baerie,WATCHM.DLG,3,676,0,No,
Baerie,YAGO.DLG,3,676,0,No,
Hexxa25J,HEXXA25J.DLG,3,639,238,Yes,
Hexxa25J,OHHKORK.DLG,3,639,238,Yes,
Hexxa25J,OHHPHREY.DLG,3,639,238,Yes,
Hexxa25J,OHRTALLU.DLG,3,639,238,Yes,
Anomen,ANOMEN.DLG,3,535,0,No,
Anomen,ANOMENJ.DLG,3,535,0,No,
Anomen,BANDIC.DLG,3,535,0,No,
Anomen,BELAND.DLG,3,535,0,No,
Anomen,DEZKIEL.DLG,3,535,0,No,
Anomen,DRUID2.DLG,3,535,0,No,
Anomen,DRUIDC.DLG,3,535,0,No,
Anomen,DRUNK.DLG,3,535,0,No,
Anomen,FCOOK2.DLG,3,535,0,No,
Anomen,FCOOK3.DLG,3,535,0,No,
Anomen,FECOOK.DLG,3,535,0,No,
Anomen,FLAM10.DLG,3,535,0,No,
Anomen,FLAMBG.DLG,3,535,0,No,
Anomen,FTOBE2.DLG,3,535,0,No,
Anomen,FTOBE6.DLG,3,535,0,No,
Anomen,FTOWB3.DLG,3,535,0,No,
Anomen,HAFFG2.DLG,3,535,0,No,
Anomen,HALFEN.DLG,3,535,0,No,
Anomen,HALFFG.DLG,3,535,0,No,
Anomen,HALFG3.DLG,3,535,0,No,
Anomen,HALFG4.DLG,3,535,0,No,
Anomen,HALFG6.DLG,3,535,0,No,
Anomen,HOUSG4.DLG,3,535,0,No,
Anomen,HOUSG6.DLG,3,535,0,No,
Anomen,IRON13.DLG,3,535,0,No,
Anomen,IRON14.DLG,3,535,0,No,
Anomen,IRON4.DLG,3,535,0,No,
Anomen,IRONM3.DLG,3,535,0,No,
Anomen,ITHTYL.DLG,3,535,0,No,
Anomen,MCOOK5.DLG,3,535,0,No,
Anomen,MTOB5.DLG,3,535,0,No,
Anomen,MTOB6.DLG,3,535,0,No,
Anomen,MTOWF2.DLG,3,535,0,No,
Anomen,NOBL9.DLG,3,535,0,No,
Anomen,OGRMA2.DLG,3,535,0,No,
Anomen,SERVA2.DLG,3,535,0,No,
Anomen,SMITH.DLG,3,535,0,No,
Anomen,STHIEF.DLG,3,535,0,No,
Anomen,WAITER.DLG,3,535,0,No,
Anomen,WILTON.DLG,3,535,0,No,
Anomen,YESLIC.DLG,3,535,0,No,
Viconij,VICONIJ.DLG,3,530,1,Yes,
Rasaa25J,RASAA25J.DLG,3,422,154,Yes,
Rasaa25J,RASAA25P.DLG,3,422,154,Yes,
Rasaa25J,RASAADJ.DLG,3,422,154,Yes,
Rasaa25J,RASAADP.DLG,3,422,154,Yes,
Hexxat,HEXXAT.DLG,3,421,149,Yes,
Hexxat,NEERAJ.DLG,3,421,149,Yes,
Aerie,AERIE.DLG,3,400,0,No,
Aerie,AERIEJ.DLG,3,400,0,No,
Aerie,DESTUS.DLG,3,400,0,No,
Aerie,DOPDUR2.DLG,3,400,0,No,
Aerie,DORN.DLG,3,400,0,No,
Aerie,EMITAR.DLG,3,400,0,No,
Aerie,HAERDAJ.DLG,3,400,0,No,
Aerie,R158.DLG,3,400,0,No,
Aerie,SHADOW.DLG,3,400,0,No,
Ohbdenna,OHBDENNA.DLG,3,391,260,Yes,
Ohbdenna,OHBELGIA.DLG,3,391,260,Yes,
Dorn25J,DORN25J.DLG,3,383,135,Yes,
Dorn25J,OHDNAIMA.DLG,3,383,135,Yes,
Dorn25J,OHDSWORD.DLG,3,383,135,Yes,
Dorn25J,RASAADJ.DLG,3,383,135,Yes,
Edwin,EDWIN.DLG,3,367,0,No,
Edwin,EDWINJ.DLG,3,367,0,No,
Edwin,FARM3.DLG,3,367,0,No,
Edwin,FTOWBA.DLG,3,367,0,No,
Edwin,HOBGO5.DLG,3,367,0,No,
Edwin,HUNTER.DLG,3,367,0,No,
Edwin,IRON11.DLG,3,367,0,No,
Edwin,IRON3.DLG,3,367,0,No,
Edwin,IRON5.DLG,3,367,0,No,
Edwin,IRON8.DLG,3,367,0,No,
Edwin,IRON9.DLG,3,367,0,No,
Edwin,IRONHO.DLG,3,367,0,No,
Edwin,KIVAN.DLG,3,367,0,No,
Edwin,LARYSS.DLG,3,367,0,No,
Edwin,LOWLGU.DLG,3,367,0,No,
Edwin,MINEC3.DLG,3,367,0,No,
Edwin,MINEC4.DLG,3,367,0,No,
Edwin,MINEC5.DLG,3,367,0,No,
Edwin,MINERC.DLG,3,367,0,No,
Edwin,MTOWBA.DLG,3,367,0,No,
Edwin,NARCIL.DLG,3,367,0,No,
Edwin,NHUNTC.DLG,3,367,0,No,
Edwin,NOBL2.DLG,3,367,0,No,
Edwin,PNASHK.DLG,3,367,0,No,
Edwin,POGHM2.DLG,3,367,0,No,
Edwin,R179.DLG,3,367,0,No,
Edwin,READ4.DLG,3,367,0,No,
Edwin,SHOPNYMP.DLG,3,367,0,No,
Edwin,SILVGU.DLG,3,367,0,No,
Edwin,TOWNCR.DLG,3,367,0,No,
Edwin,WILTON.DLG,3,367,0,No,
Botsmith,BOTSMITH.DLG,3,356,0,No,
Botsmith,WSMITH01.DLG,3,356,0,No,
HaerDalis,HAERDA.DLG,3,354,0,No,
HaerDalis,TETHTO.DLG,3,354,0,No,
Ohrmeems,OHRMEEMS.DLG,3,354,133,Yes,
Shthlt01,SHTHLT01.DLG,3,347,0,No,
Ohdtmfil,OHDTMFIL.DLG,3,341,129,Yes,
Ohdtmfil,OHDYARR.DLG,3,341,129,Yes,
Keldorn,KELDORJ.DLG,3,339,0,No,
Keldorn,MTOB10.DLG,3,339,0,No,
Keldorn,MTOB4.DLG,3,339,0,No,
Keldorn,MTOB8.DLG,3,339,0,No,
Keldorn,NILA.DLG,3,339,0,No,
Keldorn,NOBL14.DLG,3,339,0,No,
Keldorn,NOBL2.DLG,3,339,0,No,
Keldorn,NOBL7.DLG,3,339,0,No,
Keldorn,NOBWBAS.DLG,3,339,0,No,
Keldorn,NOBWBAZ.DLG,3,339,0,No,
Keldorn,OGRED.DLG,3,339,0,No,
Keldorn,PROST8.DLG,3,339,0,No,
Keldorn,REVEN2.DLG,3,339,0,No,
Keldorn,SILVGU.DLG,3,339,0,No,
Keldorn,SLAVE3.DLG,3,339,0,No,
Keldorn,SLAVE5.DLG,3,339,0,No,
Keldorn,SLAVE6.DLG,3,339,0,No,
Keldorn,SLAVLEAD.DLG,3,339,0,No,
Keldorn,VOICE.DLG,3,339,0,No,
Keldorn,WARRID.DLG,3,339,0,No,
Keldorn,WHITKD.DLG,3,339,0,No,
Bvicon25,BVICON25.DLG,3,334,0,No,
Bvicon25,OHBNPC01.DLG,3,334,0,No,
Minsc,NIKLOS.DLG,3,292,0,No,
Minsc,OHDDOOR1.DLG,3,292,0,No,
Minsc,POGHM2.DLG,3,292,0,No,
Minsc,YESLIP.DLG,3,292,0,No,
Ohbstann,OHBSTANN.DLG,3,287,111,Yes,
Baerie25,BAERIE25.DLG,3,278,1,Yes,
Bsarev25,BSAREV25.DLG,3,277,0,No,
Bsarev25,SAREV25J.DLG,3,277,0,No,
Ohrhhelm,OHRHHELM.DLG,3,276,108,Yes,
Ohrhhelm,OHRHMFEN.DLG,3,276,108,Yes,
Ohrhhelm,OHRHMKEL.DLG,3,276,108,Yes,
Ohrhhelm,OHRHMON1.DLG,3,276,108,Yes,
Ohrhhelm,OHRMEMB1.DLG,3,276,108,Yes,
Ohrhhelm,OHRMEMB2.DLG,3,276,108,Yes,
Ohrhhelm,OHRMEMB3.DLG,3,276,108,Yes,
Uhmay01,UHMAY01.DLG,3,272,0,No,
Banome25,BANOME25.DLG,3,266,0,No,
Banome25,BDORN25.DLG,3,266,0,No,
Korgan,KORGANJ.DLG,3,265,0,No,
Korgan,TESTCH.DLG,3,265,0,No,
Korgan,THIEFG.DLG,3,265,0,No,
Udphae01,UDPHAE01.DLG,3,265,0,No,
Bvalyga,BVALYGA.DLG,3,253,0,No,
Bvalyga,CUTEKI.DLG,3,253,0,No,
Bvalyga,DESSLO.DLG,3,253,0,No,
Bvalyga,DRYAD.DLG,3,253,0,No,
Bvalyga,DUSHAI.DLG,3,253,0,No,
Bvalyga,FARMWE.DLG,3,253,0,No,
Bvalyga,GALLOR.DLG,3,253,0,No,
Bvalyga,KAGAIJ.DLG,3,253,0,No,
Bvalyga,MTOB2.DLG,3,253,0,No,
Bvalyga,NARRAT.DLG,3,253,0,No,
Bvalyga,THEREL.DLG,3,253,0,No,
Bvalyga,WARWLF.DLG,3,253,0,No,
Bvalyga,ZEKE.DLG,3,253,0,No,
Udsola01,UDSOLA01.DLG,3,252,0,No,
Neera25J,NEERA25J.DLG,3,251,145,Yes,
Neera25J,NEERAJ.DLG,3,251,145,Yes,
Neera25J,OHHKUNG.DLG,3,251,145,Yes,
Bodhi,BODHI.DLG,3,246,0,No,
Bodhi,CULT2.DLG,3,246,0,No,
Bodhi,DETRAN.DLG,3,246,0,No,
Bodhi,DORNJ.DLG,3,246,0,No,
Bodhi,HEXXATJ.DLG,3,246,0,No,
Bodhi,MEMNIS.DLG,3,246,0,No,
Bodhi,MTOWNUL.DLG,3,246,0,No,
Bodhi,RASAADJ.DLG,3,246,0,No,
Bodhi,SHARA1.DLG,3,246,0,No,
Bodhi,THEREL.DLG,3,246,0,No,
Bodhi,WOLFW1.DLG,3,246,0,No,
Bodhi,WOLFW2.DLG,3,246,0,No,
Bodhi,WOLFW3.DLG,3,246,0,No,
Bhexxat,BHEXXAT.DLG,3,243,0,No,
Bhexxat,BKELDOR.DLG,3,243,0,No,
Bdhigg01,BDHIGG01.DLG,3,242,0,No,
Ohdyarr,OHDYARR.DLG,3,233,102,Yes,
Janj,JANJ.DLG,3,224,0,No,
Janj,RINNIE.DLG,3,224,0,No,
Aran,ARAN.DLG,3,223,0,No,
Aran,DRYAD.DLG,3,223,0,No,
Aran,HUNTER.DLG,3,223,0,No,
Aran,IRON11.DLG,3,223,0,No,
Aran,NEERAJ.DLG,3,223,0,No,
Aran,SLAVE4.DLG,3,223,0,No,
Aran,SLAVE5.DLG,3,223,0,No,
Aran,VOLO.DLG,3,223,0,No,
Ohbbrodl,OHBBRODL.DLG,3,216,88,Yes,
Ohbbrodl,OHDBOLL.DLG,3,216,88,Yes,
Bneera,BNEERA.DLG,3,210,0,No,
Ohbtartl,OHBTARTL.DLG,3,206,77,Yes,
Ohbtartl,OHRCUDDY.DLG,3,206,77,Yes,
Gaelan,GAELAN.DLG,3,201,0,No,
Gaelan,GAYLAN.DLG,3,201,0,No,
Gaelan,MENDA2.DLG,3,201,0,No,
Gaelan,MENDA3.DLG,3,201,0,No,
Kpdomo01,KPDOMO01.DLG,3,200,0,No,
Bkeldor,BKELDOR.DLG,3,198,0,No,
Bkeldor,BORIN.DLG,3,198,0,No,
Bkeldor,CYDERM.DLG,3,198,0,No,
Bkeldor,DOOMSAY.DLG,3,198,0,No,
Bkeldor,DUSHAI.DLG,3,198,0,No,
Bkeldor,GALLOR.DLG,3,198,0,No,
Bkeldor,GARDEN.DLG,3,198,0,No,
Bkeldor,GOLINV.DLG,3,198,0,No,
Bkeldor,LAOLA.DLG,3,198,0,No,
Bkeldor,LENORE.DLG,3,198,0,No,
Bkeldor,MINEC4.DLG,3,198,0,No,
Bkeldor,MINERC.DLG,3,198,0,No,
Bkeldor,MONKEN.DLG,3,198,0,No,
Bkeldor,MRSHADE.DLG,3,198,0,No,
Bkeldor,MTOWF2.DLG,3,198,0,No,
Bkeldor,PIQUE.DLG,3,198,0,No,
Bkeldor,R179.DLG,3,198,0,No,
Bkeldor,RALEO.DLG,3,198,0,No,
Bkeldor,REGINA.DLG,3,198,0,No,
Bkeldor,SCOTTY.DLG,3,198,0,No,
Bkeldor,SEWERC.DLG,3,198,0,No,
Bkeldor,SHELTO.DLG,3,198,0,No,
Bkeldor,SHOPNYMP.DLG,3,198,0,No,
Bkeldor,SPANKY.DLG,3,198,0,No,
Bkeldor,SPENGIL.DLG,3,198,0,No,
Bkeldor,TORLOB.DLG,3,198,0,No,
Bkeldor,UTOR.DLG,3,198,0,No,
Bkeldor,WINSKI.DLG,3,198,0,No,
Ohbvoghi,OHBVOGHI.DLG,3,198,68,Yes,
Bhaerda,BHAERDA.DLG,3,197,0,No,
Bhaerda,DHANIA.DLG,3,197,0,No,
Bhaerda,FARMWE.DLG,3,197,0,No,
Bhaerda,GALLOR.DLG,3,197,0,No,
Bhaerda,LENORE.DLG,3,197,0,No,
Bhaerda,LOBAR.DLG,3,197,0,No,
Bhaerda,MALKAL.DLG,3,197,0,No,
Bhaerda,MCOOK.DLG,3,197,0,No,
Bhaerda,MCOOK3.DLG,3,197,0,No,
Bhaerda,MTOB2.DLG,3,197,0,No,
Bhaerda,NOBL5.DLG,3,197,0,No,
Bhaerda,SHELTO.DLG,3,197,0,No,
Bhaerda,TRIADO.DLG,3,197,0,No,
Ohdwntrb,OHDWNTRB.DLG,3,196,66,Yes,
Cernd,CERND.DLG,3,191,0,No,
Cernd,FRIEND.DLG,3,191,0,No,
Cernd,FTOBE2.DLG,3,191,0,No,
Cernd,FTOBE3.DLG,3,191,0,No,
Cernd,FTOBE4.DLG,3,191,0,No,
Cernd,FTOBE9.DLG,3,191,0,No,
Cernd,HAFFG2.DLG,3,191,0,No,
Cernd,HALFFG.DLG,3,191,0,No,
Cernd,HALFG4.DLG,3,191,0,No,
Cernd,HALFG5.DLG,3,191,0,No,
Cernd,HALFG6.DLG,3,191,0,No,
Cernd,HOUSG1.DLG,3,191,0,No,
Cernd,HOUSG2.DLG,3,191,0,No,
Cernd,HOUSG4.DLG,3,191,0,No,
Cernd,MTOWF2.DLG,3,191,0,No,
Cernd,NOBL10.DLG,3,191,0,No,
Cernd,NOBL7.DLG,3,191,0,No,
Cernd,NOBL8.DLG,3,191,0,No,
Cernd,NOBL9.DLG,3,191,0,No,
Cernd,OGRMA3.DLG,3,191,0,No,
Cernd,SMITH.DLG,3,191,0,No,
Cernd,TRAVEL.DLG,3,191,0,No,
Bkorgan,BKORGAN.DLG,3,190,0,No,
Bkorgan,CALDO.DLG,3,190,0,No,
Bkorgan,DHANIA.DLG,3,190,0,No,
Bkorgan,FLAM7.DLG,3,190,0,No,
Bkorgan,FTOWB4.DLG,3,190,0,No,
Bkorgan,LENORE.DLG,3,190,0,No,
Bkorgan,MALKAL.DLG,3,190,0,No,
Bkorgan,MTOB10.DLG,3,190,0,No,
Bkorgan,MTOWNAZ.DLG,3,190,0,No,
Bkorgan,NILA.DLG,3,190,0,No,
Bkorgan,NOBL10.DLG,3,190,0,No,
Bkorgan,PIQUE.DLG,3,190,0,No,
Bkorgan,POE.DLG,3,190,0,No,
Bkorgan,STHIEF.DLG,3,190,0,No,
Sarmel01,SARMEL01.DLG,3,190,0,No,
C6Elhan2,C6ELHAN2.DLG,3,188,0,No,
C6Elhan2,SOBELHAN.DLG,3,188,0,No,
Bjahei25,BJAHEI25.DLG,3,185,0,No,
Bcernd,BCERND.DLG,3,181,0,No,
Bcernd,BFALDO.DLG,3,181,0,No,
Bcernd,BORDA.DLG,3,181,0,No,
Bcernd,CUTEKI.DLG,3,181,0,No,
Bcernd,CUTSAR.DLG,3,181,0,No,
Bcernd,DOOMSAY.DLG,3,181,0,No,
Bcernd,ENNA.DLG,3,181,0,No,
Bcernd,GALLOR.DLG,3,181,0,No,
Bcernd,HALFEN.DLG,3,181,0,No,
Bcernd,HOUSEN.DLG,3,181,0,No,
Bcernd,JIM.DLG,3,181,0,No,
Bcernd,MONKDE.DLG,3,181,0,No,
Bcernd,MONKEN.DLG,3,181,0,No,
Bcernd,SERVA2.DLG,3,181,0,No,
Bcernd,THIEFF.DLG,3,181,0,No,
Bcernd,THIEFM.DLG,3,181,0,No,
Bcernd,TRIADO.DLG,3,181,0,No,
Townc01,TOWNC01.DLG,3,180,0,No,
Yoshj,YOSHJ.DLG,3,180,0,No,
Haerdaj,HAERDAJ.DLG,3,177,0,No,
Haerdaj,KEEPER.DLG,3,177,0,No,
Haerdaj,KOBOLD.DLG,3,177,0,No,
Haerdaj,MONTAR.DLG,3,177,0,No,
Haerdaj,XZAR.DLG,3,177,0,No,
Celogan,CELOGAN.DLG,3,175,0,No,
Celogan,HALFG2.DLG,3,175,0,No,
Celogan,HALFG3.DLG,3,175,0,No,
Celogan,HOUSG4.DLG,3,175,0,No,
Celogan,IRON14.DLG,3,175,0,No,
Celogan,IRONM2.DLG,3,175,0,No,
Celogan,IRONM3.DLG,3,175,0,No,
Celogan,MERCHG.DLG,3,175,0,No,
Celogan,NOBL5.DLG,3,175,0,No,
Celogan,NOBL6.DLG,3,175,0,No,
Demson,DEMSON.DLG,3,175,0,No,
Renal,RENAL.DLG,3,174,0,No,
Wsmith01,WSMITH01.DLG,3,173,0,No,
Mgappr02,MGAPPR02.DLG,3,169,0,No,
Ohhfak,OHHFAK.DLG,3,169,51,Yes,
Ohdsumm,OHDSUMM.DLG,3,168,66,Yes,
Ohdsumm,OHDYARR.DLG,3,168,66,Yes,
Ohrlemze,OHRLEMZE.DLG,3,168,0,No,
Pircor03,PIRCOR03.DLG,3,166,0,No,
Pircor04,PIRCOR04.DLG,3,166,0,No,
Raelis,RAELIS.DLG,3,166,0,No,
Raelis,TETHTO.DLG,3,166,0,No,
Raelis,XZAR.DLG,3,166,0,No,
Ohrsscar,OHRSSCAR.DLG,3,164,63,Yes,
Byoshim,BYOSHIM.DLG,3,161,0,No,
Byoshim,CALDO.DLG,3,161,0,No,
Byoshim,DRUNK.DLG,3,161,0,No,
Byoshim,DRYAD.DLG,3,161,0,No,
Byoshim,FLAM4.DLG,3,161,0,No,
Byoshim,FLAM5.DLG,3,161,0,No,
Byoshim,GNOLL5.DLG,3,161,0,No,
Byoshim,HOBGO5.DLG,3,161,0,No,
Byoshim,HOUSG4.DLG,3,161,0,No,
Byoshim,IRON3.DLG,3,161,0,No,
Byoshim,IRON5.DLG,3,161,0,No,
Byoshim,IRON6.DLG,3,161,0,No,
Byoshim,IRON9.DLG,3,161,0,No,
Byoshim,ITHTYL.DLG,3,161,0,No,
Byoshim,KRUMM.DLG,3,161,0,No,
