DLGFile,TotalLines,SpeakerCount,TopSpeakers,StrRefMin,StrRefMax,HasLegacyLines
OHBTARTL.DLG,206,1,Ohbtartl (206),88283,101146,Yes
GAELAN.DLG,201,1,Gaelan (201),20855,59570,No
OHBVOGHI.DLG,201,4,Ohbvoghi (198); Ohbgua (1); Ohbmolza (1); Ohbellra (1),90467,102811,Yes
RENAL.DLG,201,5,Renal (174); Ftowwi (11); Mtowwi (10); Childulg (4); Ftownul (2),21186,62160,No
KPDOMO01.DLG,200,1,Kpdomo01 (200),39977,40681,No
BHAERDA.DLG,198,2,Bhaerda (197); Amnis2 (1),1125,99635,No
OHDWNTRB.DLG,196,1,Ohdwntrb (196),76366,99913,Yes
BKORGAN.DLG,192,2,Bkorgan (190); Bentan (2),2443,99692,No
CERND.DLG,191,1,Cernd (191),7579,61692,No
SARMEL01.DLG,190,1,Sarmel01 (190),64007,71190,No
HAERDAJ.DLG,189,6,Haerdaj (177); Haerd25J (7); Cattac (2); Enna (1); Dushai (1),85,88461,No
C6ELHAN2.DLG,188,1,C6Elhan2 (188),58889,102521,No
BCERND.DLG,186,2,Bcernd (181); Ajanti (5),431,101916,No
BJAHEI25.DLG,185,1,Bjahei25 (185),68472,102195,No
YOSHJ.DLG,181,2,Yoshj (180); Dushai (1),14279,61024,No
TOWNC01.DLG,180,1,Townc01 (180),30834,31683,No
CELOGAN.DLG,175,1,Celogan (175),7580,57693,No
DEMSON.DLG,175,1,Demson (175),36742,61092,No
OHHFAK.DLG,171,3,Ohhfak (169); Bernard (1); Ohhcab25 (1),80876,102557,Yes
MGAPPR02.DLG,169,1,Mgappr02 (169),40826,59857,No
OHDSUMM.DLG,169,2,Ohdsumm (168); Dornj (1),75470,75689,Yes
RAELIS.DLG,169,4,Raelis (166); Poghm2 (1); Housg2 (1); Keeper (1),84,103720,No
OHRLEMZE.DLG,168,1,Ohrlemze (168),79290,79463,No
BMAZZY.DLG,167,3,Bmazzy (153); Ajanti (8); Avery (6),368,99711,No
CERNDJ.DLG,167,7,Cerndj (159); Bounty (2); Cernd25J (2); Avery (1); Boyba3 (1),7911,75707,No
PIRCOR03.DLG,166,1,Pircor03 (166),53835,56692,No
PIRCOR04.DLG,166,1,Pircor04 (166),54119,56695,No
OHRSSCAR.DLG,164,1,Ohrsscar (164),78444,96212,Yes
BYOSHIM.DLG,161,1,Byoshim (161),2631,102273,No
BIMOEN25.DLG,160,1,Bimoen25 (160),68312,102187,No
BJAN.DLG,159,1,Bjan (159),640,99681,No
BRASAAD.DLG,158,3,Brasaad (150); Brasaa25 (6); Bdorn (2),98675,102101,No
OHNTELAN.DLG,156,1,Ohntelan (156),87622,102531,Yes
RYLOCK.DLG,152,4,Rylock (117); Death2 (31); Andris (3); Death1 (1),22526,57880,No
OHRMOCOM.DLG,151,2,Ohrmocom (147); Ohrblynn (4),79553,97295,Yes
SAREV25A.DLG,151,1,Sarev25A (151),64071,71109,No
SCTELWYN.DLG,151,1,Sctelwyn (151),29222,99879,No
MGTEOS01.DLG,150,1,Mgteos01 (150),40724,61138,No
OHBTIMMO.DLG,149,1,Ohbtimmo (149),90501,100624,Yes
OHHCABRI.DLG,148,1,Ohhcabri (148),82033,102525,Yes
SOLAR.DLG,147,1,Solar (147),64019,67613,No
RASAAD.DLG,143,1,Rasaad (143),77646,102517,Yes
VALYGAR.DLG,143,23,Valygar (36); Portal (18); Tarnes (11); Neira (9); Karlat (7),17890,60742,No
HENDAK.DLG,140,5,Hendak (126); Desslo (10); Cyderm (2); Flampun (1); Erik (1),14679,61134,No
SOBELHAN.DLG,139,1,C6Elhan2 (139),58889,59153,No
JAHEIRAP.DLG,138,10,Jaheirap (122); Alorap (4); Ftowbe (3); Branwp (2); Ftowba (2),15401,61171,No
SAHPR1.DLG,138,1,Sahpr1 (138),46257,61966,No
BMINSC.DLG,137,3,Bminsc (126); Avery (9); Amnis2 (2),960,99725,No
EDWIN.DLG,137,2,Edwin (136); Arkush (1),6259,98496,No
PPSTAT01.DLG,137,1,Ppstat01 (137),47565,62030,No
PLAYER1.DLG,136,1,Player1 (136),49236,102285,No
VALYGARJ.DLG,136,4,Valygarj (124); Dandal (5); Valyg25J (4); Binky (3),14249,88460,No
GARREN.DLG,133,1,Garren (133),6361,58655,No
GORODR1.DLG,133,1,Gorodr1 (133),62343,71125,No
OHBMOLZA.DLG,133,1,Ohbmolza (133),91096,99396,No
AERIE.DLG,132,1,Aerie (132),2199,58678,No
BDORN.DLG,132,1,Bdorn (132),88845,102157,No
JAHEIRA.DLG,132,6,Jaheira (118); Doppsm (8); Dhania (3); Iron3 (1); Fcook2 (1),899,38538,No
BEDWIN.DLG,130,1,Bedwin (130),3071,102019,No
OHBGEZZT.DLG,130,1,Ohbgezzt (130),90492,102956,Yes
BKORGA25.DLG,129,1,Bkorga25 (129),68039,102209,No
OHRCUDDY.DLG,129,3,Ohrcuddy (127); Mazzy5 (1); Ohbtartl (1),24223,97299,Yes
BHOISIG.DLG,128,2,Bhoisig (127); Bharval (1),28003,103035,No
OHBDULF.DLG,128,1,Ohbdulf (128),90561,101777,Yes
PPSAEM3.DLG,128,1,Ppsaem3 (128),45561,62054,No
UDDROW16.DLG,128,1,Uddrow16 (128),52437,52846,No
BHARVAL.DLG,126,1,Bharval (126),10634,103028,No
DELON.DLG,126,1,Delon (126),16765,59074,No
BERNARD.DLG,125,1,Bernard (125),1579,86418,Yes
FSSPIR3.DLG,125,1,Fsspir3 (125),63493,68098,No
HPRELATE.DLG,124,2,Hprelate (123); Ftobe7 (1),8139,53240,No
OHRHGUA1.DLG,123,1,Ohrhgua1 (123),78934,96259,No
OHHKORK.DLG,122,2,Ohhkork (121); Hexxa25J (1),85711,86671,Yes
YOSHIMO.DLG,122,11,Yoshimo (68); Niklos (18); R179 (17); Iron9 (7); Iron7 (4),2716,25313,No
GORMAD1.DLG,120,1,Gormad1 (120),63236,63480,No
KPCAPT01.DLG,119,1,Kpcapt01 (119),39771,74274,No
OHRTRUTH.DLG,118,2,Ohrtruth (117); Hexxatj (1),79944,80107,Yes
SAHKNG01.DLG,118,1,Sahkng01 (118),46341,50001,No
C6DRIZZ1.DLG,117,1,C6Drizz1 (117),53289,58658,No
PPIRENI2.DLG,117,1,Ppireni2 (117),44234,58760,No
SUDEMIN.DLG,117,1,Sudemin (117),59233,61286,No
BHNALLA.DLG,116,1,Bhnalla (116),28004,58788,No
OHDVERN.DLG,115,2,Ohdvern (112); Dornj (3),76246,77422,Yes
HERVO.DLG,114,4,Hervo (101); Andars (5); Drelik (5); Bentha (3),2739,18913,No
MAZZY.DLG,113,2,Mazzy (73); Mazzy1 (40),24002,60484,No
OHHBURIC.DLG,113,1,Ohhburic (113),77545,83844,No
BARONP.DLG,112,1,Baronp (112),1189,32611,No
OHDXACH.DLG,111,2,Ohdxach (110); Dornj (1),77030,95173,Yes
BNEERA25.DLG,108,1,Bneera25 (108),88608,102238,No
UDDROW04.DLG,108,1,Uddrow04 (108),52335,52493,No
DORN.DLG,107,3,Dorn (102); Dornj (4); Aerie (1),74508,102540,Yes
GORCAMB.DLG,107,1,Gorcamb (107),63481,70543,No
OHRCOLLU.DLG,107,1,Ohrcollu (107),79468,87297,Yes
OHHPHREY.DLG,106,2,Ohhphrey (105); Hexxa25J (1),85329,85636,Yes
OHRHMFEN.DLG,106,2,Ohrhmfen (102); Ohrhhelm (4),77551,96105,Yes
BJAN25.DLG,105,1,Bjan25 (105),67991,101859,No
MARLOWE.DLG,105,1,Marlowe (105),73501,73743,No
TRGENI01.DLG,105,1,Trgeni01 (105),43410,46052,No
OHRCONF.DLG,104,1,Ohrconf (104),80200,80324,Yes
OHRSSM01.DLG,104,3,Ohrssm01 (102); Ohhburic (1); Ohrhmfen (1),77533,79363,Yes
IMOENJ.DLG,103,2,Imoen (94); Imoemj (9),37850,58504,No
HEXXATP.DLG,102,2,Hexxatp (95); Hexxa25P (7),84394,102419,Yes
RIGEN01.DLG,102,1,Rigen01 (102),38374,38484,No
SARVOLO.DLG,101,1,Sarvolo (101),71469,102281,No
OHBGERRO.DLG,100,1,Ohbgerro (100),94317,101778,Yes
OHHKICHI.DLG,100,1,Ohhkichi (100),83396,83563,No
INSPECT.DLG,99,1,Inspect (99),25800,46136,No
OHDUGOTH.DLG,99,1,Ohdugoth (99),75314,90367,Yes
OHBFELDR.DLG,96,2,Ohbfeldr (95); Ohbbello (1),90496,100622,Yes
PPWORKER.DLG,96,1,Ppworker (96),44121,45102,No
SCSAIN.DLG,96,1,Scsain (96),28427,37869,No
TREVIL01.DLG,96,1,Trevil01 (96),50414,56411,No
UHINN01.DLG,96,1,Uhinn01 (96),33812,37956,No
OHBELLRA.DLG,95,1,Ohbellra (95),90553,95070,Yes
OHBSYMM.DLG,95,1,Ohbsymm (95),95791,100619,Yes
MAZZY5.DLG,94,2,Mazzy5 (77); Bmazzy (17),24216,24729,No
GORDEMO.DLG,93,1,Gordemo (93),62802,63065,No
OHBMERCY.DLG,93,3,Ohbmercy (91); Ohbcook (1); Ohbbello (1),90493,100621,Yes
OHNMIRON.DLG,93,1,Ohnmiron (93),88923,100059,Yes
OHRROPML.DLG,93,1,Ohrropml (93),79766,79858,Yes
SAHBEH01.DLG,93,1,Sahbeh01 (93),46764,55316,No
UDSILVER.DLG,93,1,Udsilver (93),51331,62027,No
AMSAEMON.DLG,92,1,Amsaemon (92),66567,71865,No
TRHMER01.DLG,92,1,Trhmer01 (92),43245,57697,No
UDSIMYAZ.DLG,92,1,Udsimyaz (92),52176,52974,No
BMAZZY25.DLG,91,1,Bmazzy25 (91),68046,102219,No
JUGJER01.DLG,91,1,Jugjer01 (91),33698,58506,No
LAVOK.DLG,91,4,Lavok (82); Dandal (4); Binky (4); Jamie (1),18655,103722,No
OHRHGUA2.DLG,91,1,Ohrhgua2 (91),79022,86582,No
RIBALD.DLG,91,1,Ribald (91),16976,61124,No
SASSAR.DLG,91,8,Sassar (70); Memnis (9); Cult2 (3); Dushai (3); Detran (2),21842,61244,No
UDVITH.DLG,91,1,Udvith (91),50356,51735,No
AMBAR01.DLG,90,1,Ambar01 (90),67024,73965,No
DALESON.DLG,90,1,Daleson (90),182,59896,No
MINSCA.DLG,90,2,Minsca (72); Beland (18),2306,38542,No
SCJERLIA.DLG,90,1,Scjerlia (90),28737,61210,No
HELMBYR.DLG,88,1,Helmbyr (88),35942,62111,No
JAN.DLG,88,1,Jan (88),468,58654,No
PPSAEM.DLG,88,1,Ppsaem (88),43631,58662,No
UHMAN02.DLG,88,1,Uhman02 (88),31974,38034,No
HEXXA25P.DLG,87,2,Hexxa25A (51); Hexxa25P (36),87519,99815,Yes
OHBBELLO.DLG,87,1,Ohbbello (87),90864,92084,Yes
OHHRAFFI.DLG,87,2,Ohhraffi (85); Hexxatj (2),84258,96111,Yes
LYROS.DLG,86,2,Lyros (75); Dezkiel (11),20911,49345,No
OHDRDEF.DLG,86,1,Ohdrdef (86),91374,91518,No
OHNHAYES.DLG,86,2,Ohnhayes (85); Ohndaxus (1),87599,93595,Yes
OHNMERET.DLG,86,1,Ohnmeret (86),87952,100049,Yes
BREG01.DLG,85,1,Breg01 (85),56756,57151,No
SEWERM1.DLG,85,2,Sewerm1 (67); Elmin5 (18),9871,59454,No
AMLICH01.DLG,84,1,Amlich01 (84),73575,73698,No
RIFTM01.DLG,84,1,Riftm01 (84),29945,34737,No
SCYARRYL.DLG,84,1,Scyarryl (84),29348,37873,No
LATLARA.DLG,83,1,Latlara (83),35975,61127,No
OHBCOOK.DLG,83,1,Ohbcook (83),90605,93846,No
OHHCAB25.DLG,83,1,Ohhcab25 (83),81057,86364,Yes
OHNBARAD.DLG,83,1,Ohnbarad (83),87997,93524,Yes
OHNFADEL.DLG,83,1,Ohnfadel (83),90737,93697,Yes
TALVILON.DLG,83,1,Talvilon (83),35581,61128,No
UDARDUL.DLG,83,1,Udardul (83),51854,58863,No
KELDOR.DLG,82,6,Keldor (70); Ithtyl (4); Dillar (3); Beggba (3); Ftowb3 (1),8256,61243,No
OHBHORT.DLG,82,3,Ohbhort (80); Ohbcook (1); Ohbbello (1),90495,100620,Yes
ROGER.DLG,82,1,Roger (82),28673,45837,No
BYSTAND2.DLG,81,1,Bystand2 (81),14848,61117,No
HGNYA01.DLG,81,1,Hgnya01 (81),66053,73228,No
XXXXYY.DLG,81,2,Pircor01 (60); Xxxxyy (21),48105,54048,No
BKELDO25.DLG,80,1,Bkeldo25 (80),68024,102203,No
PPDESH.DLG,80,1,Ppdesh (80),44032,102294,No
BVALYG25.DLG,79,1,Bvalyg25 (79),68130,101894,No
OHDNAIMA.DLG,79,2,Ohdnaima (77); Dorn25J (2),91456,92031,Yes
OHRJOLST.DLG,79,1,Ohrjolst (79),79161,93784,Yes
SARKIS01.DLG,79,1,Sarkis01 (79),64698,72939,No
BNALIA.DLG,78,2,Bnalia (76); Beggba (2),710,102225,No
JAGALVAR.DLG,78,8,Jagalvar (45); Ignati (11); Credus (11); Desslo (6); Fuller2 (2),16760,17482,No
OHBCUREL.DLG,78,1,Ohbcurel (78),92976,94937,No
OHBLEOKA.DLG,78,1,Ohbleoka (78),91945,100669,Yes
OHNGDUKE.DLG,78,1,Ohngduke (78),90285,98555,Yes
OHNSZASS.DLG,78,1,Ohnszass (78),93433,98559,Yes
OHRLEMP.DLG,78,2,Ohrlemp (63); Ohrcuddy (15),82144,97297,Yes
ANOMEN.DLG,76,2,Anomen (74); Andris (2),6112,58694,No
DRSHSP01.DLG,76,1,Drshsp01 (76),48923,49187,No
GAAL.DLG,76,2,Gaal (75); Ftownul (1),21328,61201,No
HEXXA25A.DLG,76,2,Hexxa25A (75); Bviconi (1),9749,87598,Yes
JAHEI25J.DLG,76,1,Jahei25J (76),65916,92234,No
LOUT.DLG,76,1,Lout (76),28487,61260,No
VICON25J.DLG,76,2,Vicon25J (75); Imoen25J (1),65917,92223,No
BHAERD25.DLG,75,1,Bhaerd25 (75),68201,102172,No
BMINSC25.DLG,75,1,Bminsc25 (75),67994,102081,No
BYLANNA.DLG,75,1,Bylanna (75),25547,49950,No
DELCIA.DLG,75,1,Delcia (75),24492,56531,No
LEHTIN.DLG,75,4,Lehtin (54); Eldotp (10); Dynahp (9); Desslo (2),16110,59548,No
MAEVAR.DLG,75,1,Maevar (75),22202,61965,No
OHRHMKEL.DLG,75,2,Ohrhmkel (71); Ohrhhelm (4),77892,86518,Yes
SHTHLT02.DLG,75,1,Shthlt02 (75),32992,35310,No
BDORN25.DLG,74,2,Bdorn25 (73); Banome25 (1),88629,102125,No
FIRKRA02.DLG,74,1,Firkra02 (74),43148,52318,No
PPIRENI1.DLG,74,1,Ppireni1 (74),44218,58695,No
MERONIA.DLG,73,2,Meronia (71); Chess (2),23048,61125,No
OHDPLANL.DLG,73,1,Ohdplanl (73),89695,98922,Yes
UHOGRE01.DLG,73,1,Uhogre01 (73),33207,46083,No
DADROW03.DLG,72,1,Dadrow03 (72),56715,56805,No
DADROW3.DLG,72,1,Dadrow03 (72),56715,56805,No
HELLSARE.DLG,72,1,Hellsare (72),54974,55183,No
IMOEN2J.DLG,72,2,Imoen2J (64); Imoen25J (8),49240,91121,No
JANP.DLG,72,3,Janp (40); Jan2 (17); Blushc (15),2037,49752,No
TERRECE.DLG,72,4,Terrece (61); Lowlgu (8); Ogrmba (2); Flambg (1),1526,33541,No
BALTH.DLG,70,1,Balth (70),66489,102387,No
BNALIA25.DLG,70,1,Bnalia25 (70),68190,102229,No
GORSAL.DLG,70,1,Gorsal (70),62966,63096,No
KELDORP.DLG,70,4,Keldorp (59); Amaran (4); Izefia (4); Coksmth (3),10704,60888,No
MEKRAT.DLG,70,2,Hamek (68); Mekrat (2),30326,37774,No
BAZEYE01.DLG,69,1,Bazeye01 (69),72258,73382,No
BYSTAND1.DLG,69,1,Bystand1 (69),14726,61116,No
HAMEK.DLG,69,1,Hamek (69),30326,30400,No
MEKRATH.DLG,69,1,Hamek (69),30326,30400,No
OHBLARIS.DLG,69,1,Ohblaris (69),92974,94949,Yes
OHDAZOTH.DLG,69,1,Ohdazoth (69),75237,77428,Yes
OHRALOR2.DLG,69,2,Ohralor2 (68); Ignati (1),17071,83244,No
JARLAXLE.DLG,68,1,Jarlaxle (68),57062,57221,No
MAIRYN.DLG,68,1,Mairyn (68),38223,61596,No
OHRPHM.DLG,68,1,Ohrphm (68),80127,100268,No
MENDA3.DLG,67,3,Gaelan (53); Menda3 (13); Lyros (1),20906,20992,No
OHHDRAGO.DLG,67,1,Ohhdrago (67),81129,102558,No
OHNKIRIK.DLG,67,1,Ohnkirik (67),87913,98518,No
PTAGGET.DLG,67,1,Ptagget (67),36856,37082,No
RIELEV.DLG,67,6,Rielev (45); Borin (12); Mrshade (5); Desslo (2); Garkla (2),11556,37849,No
UDSVIR03.DLG,67,1,Udsvir03 (67),50799,51106,No
WILSON.DLG,67,2,Wilson (61); Wilsonp (6),79174,87165,No
KAYL2.DLG,66,4,Kayl2 (63); Housg2 (1); Housg1 (1); Ftobe6 (1),8120,61133,No
MAZZYP.DLG,66,2,Mazzyp (55); Mazzy4 (11),24053,61541,No
SUDEMINX.DLG,66,1,Sudeminx (66),54288,54414,No
CORGEIG.DLG,65,1,Corgeig (65),1822,103100,No
OHNKNOCK.DLG,65,1,Ohnknock (65),87736,93483,Yes
TBBELT.DLG,65,1,Tbbelt (65),39183,99912,No
TTBELT.DLG,65,2,Tbbelt (44); Ttbelt (21),39183,99912,No
BCERND25.DLG,64,1,Bcernd25 (64),68025,102013,No
HABREGA.DLG,64,1,Habrega (64),30605,49943,No
LOUTCAPT.DLG,64,1,Loutcapt (64),28527,37859,No
BODHI2.DLG,63,1,Bodhi2 (63),39681,59422,No
FAMIL2.DLG,63,1,Famil2 (63),58326,59476,No
AMCARRAS.DLG,62,1,Amcarras (62),66919,73976,No
COR.DLG,62,1,Cor (62),7746,62131,No
FAMIL225.DLG,62,1,Famil225 (62),72631,73441,No
OHNZAVIA.DLG,62,1,Ohnzavia (62),89443,93568,Yes
TRINNK01.DLG,62,1,Trinnk01 (62),44290,99982,No
DRUNK1.DLG,61,3,Drunk1 (55); Bellam (5); Agnasi (1),15187,45588,No
OHNREGI.DLG,61,1,Ohnregi (61),88207,93494,Yes
FSRIDD.DLG,60,1,Fsridd (60),62487,62578,No
OHBMARDU.DLG,60,4,Ohbmardu (55); Ohbcook (3); Ohbhort (1); Ohbdulf (1),90617,100671,Yes
PIRCOR01.DLG,60,1,Pircor01 (60),48105,53977,No
PIRCOR05.DLG,60,1,Pircor05 (60),54292,54541,No
PLGIRL01.DLG,60,1,Plgirl01 (60),37877,62165,No
SARCPT01.DLG,60,1,Sarcpt01 (60),64594,64682,No
SCSARLES.DLG,60,1,Scsarles (60),28655,37874,No
TRSKIN06.DLG,60,1,Trskin06 (60),44564,44649,No
WISH25.DLG,60,1,Wish25 (60),72495,72564,No
OHHSTONE.DLG,59,1,Ohhstone (59),84495,84789,No
OHRHERAT.DLG,59,1,Ohrherat (59),78863,87237,Yes
SHOP01.DLG,59,13,Shop01 (20); Gaxir (7); Quonin (7); Kagaip (7); Garrip (6),15519,15808,No
SHOP1.DLG,59,13,Shop01 (20); Gaxir (7); Quonin (7); Kagaip (7); Garrip (6),15519,15808,No
STONE.DLG,59,9,Ctraitor (26); Spech2 (12); Spech3 (8); Spech1 (3); Bhghoul1 (3),23227,23287,No
XC6ELXXX.DLG,59,1,Xc6Elxxx (59),53280,55126,No
BEDWIN25.DLG,58,1,Bedwin25 (58),68153,102167,No
HELLPRID.DLG,58,1,Hellprid (58),54914,55148,No
OHBLNGNS.DLG,58,1,Ohblngns (58),92042,100488,No
QUAYLE.DLG,58,4,Quayle (52); Destus (3); Emitar (2); Lobar (1),2246,62059,No
RIFTG01.DLG,58,1,Riftg01 (58),29784,29941,No
SHOP06.DLG,58,4,Shop06 (43); Montap (11); Montar (3); Ftowbe (1),16032,45548,No
AATAQAH.DLG,57,1,Aataqah (57),11460,62155,No
DAABOL.DLG,57,1,Daabol (57),57223,58855,No
DADROW12.DLG,57,1,Dadrow12 (57),57117,58128,No
NEERA.DLG,57,3,Neera (54); Neerap (2); Neera25A (1),87986,93108,Yes
PIRCOR02.DLG,57,1,Pircor02 (57),48109,48165,No
SCDUR.DLG,57,1,Scdur (57),29144,61457,No
BDACT05.DLG,56,1,Bdact05 (56),40988,42115,No
FFBART.DLG,56,1,Ffbart (56),25617,61152,No
HELLFEAR.DLG,56,1,Hellfear (56),54738,54853,No
MGAPPR01.DLG,56,1,Mgappr01 (56),40827,61255,No
MGAPPR03.DLG,56,1,Mgappr03 (56),40824,61251,No
SAMIA.DLG,56,1,Samia (56),40845,59902,No
TRMER02.DLG,56,1,Trmer02 (56),43351,43409,No
TRSKIN02.DLG,56,1,Trskin02 (56),44523,44754,No
YAGCON.DLG,56,1,Yagcon (56),65922,66119,No
BHEXXA25.DLG,55,1,Bhexxa25 (55),88632,102263,No
HGWRA01.DLG,55,1,Hgwra01 (55),65792,99049,No
OHHQAIS.DLG,55,1,Ohhqais (55),84099,84259,Yes
SEVBAR01.DLG,55,1,Sevbar01 (55),47373,47498,No
UDSVIR05.DLG,55,1,Udsvir05 (55),50811,51270,No
BRASAA25.DLG,54,2,Brasaa25 (53); Bminsc25 (1),88633,102109,No
IDRYAD3.DLG,54,4,Idryad3 (46); Golinv (6); Ftownaz (1); Ftowbez (1),11019,58056,No
IMOEN10.DLG,54,4,Imoen10 (43); Forthe (8); Connol (2); Garkla (1),19752,61012,No
KPMERC01.DLG,54,1,Kpmerc01 (54),40204,40316,No
OBSSOL01.DLG,54,1,Obssol01 (54),32920,61449,No
OHHIQBAL.DLG,54,1,Ohhiqbal (54),84091,84261,Yes
OHRTALLU.DLG,54,2,Ohrtallu (53); Hexxa25J (1),84698,84754,Yes
SARBAR01.DLG,54,1,Sarbar01 (54),64182,71198,No
TRGRD03.DLG,54,1,Trgrd03 (54),42703,42764,No
LLARSH.DLG,53,3,Llarsh (36); Larria (16); Lantan (1),18915,60934,No
SENGUA01.DLG,53,1,Sengua01 (53),67340,67423,No
ANOME25J.DLG,52,1,Anome25J (52),65915,72566,No
C6BODHI.DLG,52,1,C6Bodhi (52),55285,59188,No
GORAPR.DLG,52,1,Gorapr (52),62880,62940,No
GORCAR.DLG,52,1,Gorcar (52),62733,62851,No
HELLSELF.DLG,52,1,Hellself (52),55011,55125,No
MESSEN.DLG,52,2,Messen (50); Krysti (2),16989,46024,No
OHBJOKER.DLG,52,2,Ohbjoker (51); Ohbgua (1),90418,102801,No
OHRBSM.DLG,52,1,Ohrbsm (52),79859,79913,Yes
PELANNA.DLG,52,1,Pelanna (52),36469,58246,No
RIFTG03.DLG,52,1,Riftg03 (52),30096,34739,No
RIGGILO.DLG,52,7,Meronia (14); Cguard1 (10); Cultist1 (8); Riggilo (7); Excult2 (6),23048,23206,No
SHAPE.DLG,52,1,Shape (52),12620,16102,No
TANALLY1.DLG,52,1,Tanally1 (52),31306,61202,No
UDDUER01.DLG,52,1,Udduer01 (52),50127,55927,No
