StrRef,Speaker,Text,WAV_Reference,Chapter,Source_File
935,Jaheira,Enough of this; we have no time to bicker. We must find any of our companions that are trapped here and escape.,,1,JAHEIRA
939,Jaheira,"Indeed? Well, despite your... wit, he would be a great help in our escape. Better that we make use of all our strengths, rather than pick apart our weaknesses.",,1,JAHEIRA
940,Jaheira,"You have changed in this place. You would abandon your friends? Whether you remember or not, we have shared the path here. Is that to be forgotten?",,1,JAHEIRA
945,Jaheira,"It would be best to face the culprit another day on our own terms, so go and be quick. We must free ourselves soon.",,1,JAHEIRA
955,Jaheira,Such callous disregard! We have fought together and traveled long! You would toss that aside like so much rubbish?,,1,JAHEIRA
956,Jaheira,"I neither understand nor appreciate such humor. If you are to effect my release, best you set to doing it.",,1,JAHEIRA
957,Jaheira,"Know you well that this will not be forgotten! You have turned as I thought you might, and will get what is deserved!",,1,JAHEIRA
958,Jaheira,"I do not recall you being so cold. Perhaps I have had some memory loss myself, but this will not be forgotten. If I live, I shall see you pay.",,1,JAHEIRA
959,Jaheira,"Do not get too close; if I could reach you, you would regret it.",,1,JAHEIRA
960,Minsc,Where? He who sneaks up on Minsc loses teeth!,MINSC47,1,BMINSC
961,Minsc,"Stop it! Boo is not for you, tiny! You'll hurt him!",,1,BMINSC
962,Minsc,"No, I know best when talking of Boo. If you could hear his wishes, you would agree, but you cannot. The words of Boo are for Minsc alone.",,1,BMINSC
963,Minsc,"I can and will. And another thing; no more sneaking Boo crackers. He is getting rather portly, and the crumbs make for an itchy bedroll.",,1,BMINSC
964,Minsc,"Eh, weather is nice... mmmaybe...",MINSC48,1,BMINSC
965,Minsc,*grunt*,,1,BMINSC
966,Minsc,What is too bad?,,1,BMINSC
967,Minsc,What do you mean?,,1,BMINSC
968,Minsc,An itch? Can you not scratch it?,,1,BMINSC
969,Minsc,"What can Minsc do to help? A tragedy, this is! I will slay those that need slaying!",,1,BMINSC
970,Minsc,"It is only fair, big-nosed little one. We will do all that we can to aid you.",,1,BMINSC
971,Minsc,You will not steal Boo from me! I know your tricks!,,1,BMINSC
972,Minsc,Boo shall comfort the little dying gnome for a moment. Only a moment!,,1,BMINSC
973,Minsc,"Alone? No, I draw the line... hey! Stand still! I warn you!",,1,BMINSC
974,Minsc,I'll throttle you with your own arms if you do not return him this instant! This is no longer amusing! It was never amusing! I am not laughing!,,1,BMINSC
975,Minsc,"That's right, you apologize! It's hard enough keeping Boo's roaming in check without you stealing him. Bad Jan! There will be a booting if this happens again!",,1,BMINSC
996,Jaheira,"You had best leave, and quickly. If I find my release from here, I will have your head on a pike! It will be as I should have done long ago!",,1,JAHEIRA
997,Jaheira,"Do you think me so weak of mind as to believe you, or so weak of spirit as to beg you? No, your choice is made clear and I will not indulge you further.",,1,JAHEIRA
1001,Jaheira,"And I have cause to believe this? I think not. Prove your intent by actually carrying out the deed, and then we shall see if I must kill you or not.",,1,JAHEIRA
1002,Jaheira,Do what you will. You have already proven as reliable as a tamed owlbear.,,1,JAHEIRA
1003,Jaheira,I shall see you again; you had best count on that. There will be blood that pays for your lies.,,1,JAHEIRA
1004,Jaheira,"Hello again, I see you have not had much luck. Do keep trying. We should leave this place as soon as we are able.",,1,JAHEIRA
1008,Jaheira,"I should hope so. If we stand about much longer, we are sure to be caught once more.",,1,JAHEIRA
1009,Jaheira,Do not think me overly domineering; I am just eager to leave. Please hurry.,,1,JAHEIRA
1010,Jaheira,"You have my gratitude, but I'll not look at you the same way again. You should not indulge that side of yourself. It does not honor the memory of Gorion.",,1,JAHEIRA
1015,Jaheira,"So be it. I thank you for my ""rescue."" If we meet again, I doubt it will be as pleasant as this. Take care; you've certainly chosen a rocky path.",,1,JAHEIRA
1016,Jaheira,"I must go. I think it is best that I leave before our host returns. Perhaps we will meet again, and perhaps it will be under favorable terms. I doubt it.",,1,JAHEIRA
1017,Jaheira,"No matter, as I will not be put off so easily. I will join and follow as you see fit. See that we do not stray too far afield lest I regret my decision.",,1,JAHEIRA
1018,Jaheira,"Perhaps we shall meet again, and perhaps we shall even both be on the side of right. Perhaps, though it does not look likely.",,1,JAHEIRA
1020,Jaheira,"I still believe you will choose the right path, and I shall be at your side while you do. I hope you do not disappoint, or make me regret my decision.",,1,JAHEIRA
1021,Jaheira,"Well, that is a relief, and about time too. We should be going immediately. Not only might our ""host"" come back, I simply must see the sun again in none too short a time. This dank place stifles me.",,1,JAHEIRA
1026,Jaheira,"As you would have it, though there are other friends we must find as well. It is good to share your company again.",,1,JAHEIRA
1027,Jaheira,"This place has hardened your manner. I do not remember you being so quick with a cold remark. Lead on as you wish, but do tread carefully, will you?",,1,JAHEIRA
1029,Jaheira,"I would disagree with your logic. Once noticed, would not smaller groups be more likely to be captured? There is safety in the company of friends.",,1,JAHEIRA
1033,Jaheira,"An effective plan, but as cold and calculating as the walls that hold us. So be it, but it won't be I that is captured. Perhaps we will meet again.",,1,JAHEIRA
1035,Jaheira,Kha... Khalid?,JAHEIRC3,1,JAHEIRAJ
1085,Jaheira,Khalid... No! This... this is an illusion... a dream... a bad dream...,JAHEIRC4,1,JAHEIRAJ
1090,Jaheira,"Sil... Silvanus guide the light... to the source. Take this man to what he justly deserves. By... nature's will, what was given is returned; what was turmoil is now... is now peace.",,1,JAHEIRAJ
1092,Jaheira,We... we must hurry before we are noticed. We must get out of this... this grave... and seek the light above. Let us go.,,1,JAHEIRAJ
1117,Jaheira,"You will watch your tongue lest I rip it from your mouth! I, more than anyone, know of the ways life may return, but there is a line that cannot be crossed!",,1,JAHEIRAJ
1118,Jaheira,"We live in a time of miracles, and nature allows the rebirth of many that have passed beyond the veil, but there is a time when... when it is better to let go.",,1,JAHEIRAJ
1119,Jaheira,"I will mourn according to what I believe. His death... his death is horrible, but I am still trapped and we are still in danger. Should sorrow doom us all?",,1,JAHEIRAJ
1136,Jaheira,"Nature is a cycle of birth and... death. Interrupting that cycle isn't... natural! Ah, there's no time for this! I will mourn, but we must still rescue ourselves!",,1,JAHEIRAJ
1140,Jaheira,"That is the way of things. There will be... there will be payment for this crime, and I shall not rest until it is collected. When we are able, there will be...",,1,JAHEIRAJ
1144,Jaheira,Enough. I would leave this place.,,1,JAHEIRAJ
1147,Jaheira,"I will not suffer this! You will learn the limits and understand, but I will not bear this idiocy now! Find your own path; I will not travel with you!",,1,JAHEIRAJ
1149,Jaheira,"You will learn. There are things that cannot change, and others that cannot remain. And others...",,1,JAHEIRAJ
1150,Jaheira,Another day! We must live to pose a bigger threat! There is no point joining the fray today; we would only end up dead or back in our cells. Another day...,,1,JAHEIRAJ
1152,Jaheira,"Of course I am afraid; what fool wouldn't be? We were captured with little difficulty, held with even less, and have escaped with friends dead or wounded.",,1,JAHEIRAJ
1153,Jaheira,We will exact vengeance when it is to our advantage. I will not start a losing battle. A guaranteed loss is a fool's endeavor. Another day... another day...,,1,JAHEIRAJ
1159,Jaheira,"Only an idiot is not afraid when they should be. We were captured and held with ease! Yes, we have earned our freedom, but it was at the cost of our friends!",,1,JAHEIRAJ
1160,Jaheira,Agreed. We will exact justice when we have hope of succeeding. Until then... I will not forget. Another time and place...,,1,JAHEIRAJ
1161,Jaheira,"I know this place... these buildings. Yes, that person was assuredly correct; this is Athkatla. We are in the state of Amn.",JAHEIRH3,1,JAHEIRAJ
1162,Jaheira,"No, Athkatla is along the lower edge of the Sword Coast. I wonder whom we angered that we should be brought here? We should lay low, perhaps in the slums.",,1,JAHEIRAJ
1163,Jaheira,"Regardless, we will have to make sure we are out of sight for a while. I might know a few safe places here and there, by the docks or outside of town.",,1,JAHEIRAJ
1169,Jaheira,"Whatever our enemy, we should keep low for a while. Perhaps at the docks or out of town. I might know a few places.",,1,JAHEIRAJ
1172,Jaheira,"I would suggest the slums. There will be low-profile work, especially at the Copper Coronet. Someone might have heard of our capture or know where Imoen is.",,1,JAHEIRAJ
1174,Jaheira,"You might have never been here, but I have. Those Who Harp tend to travel. Khalid... Khalid and I came here... well, let us just say I have been here before.",,1,JAHEIRAJ
1186,Jaheira,"That would solve nothing, and would abandon Imoen to her fate. No, if we were captured before, then we can be captured again, so we must secure ourselves here.",,1,JAHEIRAJ
1188,Jaheira,I... I am sorry? Do I know you?,JAHEIRD5,1,JAHEIRAJ
1191,Jaheira,"Forgive me, but I will require a little more information. Your name again?",,1,JAHEIRAJ
1193,Jaheira,"No... no, I am terribly sorry, but your face is unfamiliar. Perhaps if you told me what you do...",,1,JAHEIRAJ
1195,Jaheira,"I remember well, but I wanted you to say it, and I wanted others to hear. Quite the outburst, Mister Ployer. I assume you are still at odds with your new life?",,1,JAHEIRAJ
1197,Jaheira,"MISTER Ployer, I wanted you *dead* instead of merely humiliated! The courts did not seem to think death was warranted, so they claimed your assets instead.",,1,JAHEIRAJ
1199,Jaheira,"He is none of your concern. If you value your teeth, you will not speak that name again. You dirty it.",,1,JAHEIRAJ
1206,Jaheira,"Well, the slander is going a bit far. You actually were a slaver, you know. It's not slander if it's proven.",,1,JAHEIRAJ
1209,Jaheira,"I don't think that word means what you think it means. You really were trading in slaves, you know? How am I libelous...?",,1,JAHEIRAJ
1220,Jaheira,"What have you just done, Ployer? Speak!",JAHEIRH4,1,JAHEIRAJ
1222,Jaheira,"Nobody made you a slaver; you just loved the profit! Now you blame those that caught you because you cannot take responsibility? You are a weak, weak man!",,1,JAHEIRAJ
1224,Jaheira,"By the horns of Silvanus, I'll plant him beneath the Stones of Aisath if I... if I...",JAHEIRH5,1,JAHEIRAJ
1228,Jaheira,"No, I... I'm fine. I just felt a little strange for a moment. That... that fat excuse for a slaver, he's cursed me! Damn him!",,1,JAHEIRAJ
1232,Jaheira,"Try not to shout, please? My head is unsettled at the moment. There... it clears somewhat, but undoubtedly there will be more. That fat old slaver cursed me!",,1,JAHEIRAJ
1238,Jaheira,"For the moment, though I do feel a touch under the weather. Damn him! I'll see his slaving heart stopped for this!",,1,JAHEIRAJ
1243,Jaheira,"I doubt he would have bothered if the cure were quite so simple. If this curse was tailored to me, then we've no recourse but to exact its cure from his hide.",,1,JAHEIRAJ
1244,Jaheira,"The Harpers do not operate like that. No, I bet only the one who cast it can remove it. It likely resists conventional means if it was tailored to me.",,1,JAHEIRAJ
1245,Jaheira,I beg your pardon? I am to be cast out because of this? What is your reasoning?,,1,JAHEIRAJ
1246,Jaheira,"That may be my only option. If it was tailored to me, it might resist removal by normal means. I doubt Ployer would have done this if the solution were simple.",,1,JAHEIRAJ
1275,Jaheira,"I have a few options. Ployer mentioned that he lived in squalor, suggesting he may be in the poor section of the city. Not likely to find him quick though.",,1,JAHEIRAJ
1276,Jaheira,"He also mentioned Belgrade, a merchant that helped expose Ployer. He frequents the Copper Coronet, and the bartender Bernard might know his whereabouts.",,1,JAHEIRAJ
1277,Jaheira,"He also mentioned Belgrade, a merchant that helped expose Ployer. He frequents the Copper Coronet, and the bartender Bernard might know his whereabouts.",,1,JAHEIRAJ
1282,Jaheira,"True, there is a lot of ground to cover, but it seemed clear that he lives in squalor. I would begin in the poor sections of the city. It will take some time.",,1,JAHEIRAJ
1283,Jaheira,Again this side of you surfaces. I should not have believed your apologies in Irenicus's dungeon. I will not spend a... *cough*... a moment more in your company!,,1,JAHEIRAJ
1284,Jaheira,"You *cough* surprise me. To think this cold streak was within and I had only glimpsed it until now. Well then, I will cause you no more inconvenience.",,1,JAHEIRAJ
1287,Jaheira,"That is not *cough* amusing, and it's not the first time you have acted such. Perhaps you are colder than you let on, but I have little choice but to follow.",,1,JAHEIRAJ
1288,Jaheira,There is always a better path than simply abandoning those that are weak. You will not keep allies by demonstrating that you are willing to sacrifice them.,,1,JAHEIRAJ
1289,Jaheira,"Very well, though I should like to try and find Belgrade eventually. It has been... *cough*... it has been some time since we talked.",,1,JAHEIRAJ
1290,Jaheira,A good first step. Hopefully he can give us some idea where Ployer might... *cough*... might be.,,1,JAHEIRAJ
1291,Jaheira,,,1,JAHEIRAJ
1327,Jaheira,Ooohhh... mm! I did not find resting at all comfortable last eve. I... *cough*... I just couldn't bring my eyes to close. My head pounds as thunder behind my temples.,JAHEIRH6,1,JAHEIRAJ
1332,Jaheira,"Aye, that I am, but well enough to walk. I will see that Ployer pay for this. Blasted slaver!",,1,JAHEIRAJ
1333,Jaheira,"I am rested well enough. I will not coddle this curse. Sleeping may ease the aching, but it won't help remove it. Only finding that Ployer will do that.",,1,JAHEIRAJ
1334,Jaheira,"Lazy, am I? I wouldn't wish a wasting on many, but you come close. Ah, I have no time to bicker. We must continue on lest this affliction progress too far.",,1,JAHEIRAJ
1335,Jaheira,"I see. So despite assurances, you are indeed the bastard I thought you were after that stunt in Irenicus's jail. Oh, I remember, and I'll remember this too.",,1,JAHEIRAJ
1338,Jaheira,"Do not joke so! I am in grave straits, and you mock my condition with talk of leaving?",,1,JAHEIRAJ
1343,Jaheira,You can get me Ployer. Never have I been so mad at another living thing. All this because he could not admit responsibility. He is irredeemable.,,1,JAHEIRAJ
1344,Jaheira,,,1,JAHEIRAJ
1346,Jaheira,"I see. Then I will waste no more of your time. I will seek help on my own, and damn you for being so cold. Farewell. We will not meet again.",,1,JAHEIRAJ
1347,Jaheira,"My very bones ache today. It is as though I age on the inside. Ohh, this cannot go on for long.",JAHEIRC7,1,JAHEIRAJ
1353,Jaheira,"Oh, I shall certainly save it. I shall save it just long enough to bring the fury of Mother Earth upon that fat slaver that would imprison her children.",,1,JAHEIRAJ
1355,Jaheira,,,1,JAHEIRAJ
1358,Jaheira,What do you mean by that? Am I not worth the effort of rescue? Have you better things to do?,,1,JAHEIRAJ
1371,Jaheira,,,1,JAHEIRAJ
1372,Jaheira,"Forgive my outburst as well; I am... *cough*... I am not myself. Come, we must go. I will see that slaver pay for this.",,1,JAHEIRAJ
1486,Jaheira,Despicable... *cough* *cough*... despicable wretch! You knew I would come here?,JAHEIRD6,1,JAHEIRAJ
1489,Jaheira,"I am... I am not here to grovel, Ployer. You would sooner get that from my corpse!",,1,JAHEIRAJ
1491,Jaheira,"I- *COUGH* I AM NOT HERE TO GROVEL! I may be weak, even dying, but you WON'T get that! I have come to take what is mine! I (ehrm) will be free of you... of your...",,1,JAHEIRAJ
1508,Jaheira,"I feel... weak, but better. I... *cough* *cough*... I thank you for helping me through this. You have earned my gratitude and... ehh... and I should really get a full day of rest.",JAHEIRC8,1,JAHEIRAJ
1513,Jaheira,"Ahh, yes, I'm the one with enemies we need to worry about. Do you even believe that yourself? Don't make me lau... ow... laugh.",,1,JAHEIRAJ
1514,Jaheira,"I certainly hope so. Such weakness... I swear, if I meet his like again, I'll not let the courts spare him. I'll... I'll be better after a night's rest.",,1,JAHEIRAJ
1515,Jaheira,"Like him? No. Well, perhaps, though he was certainly one of the more wretched. I doubt we'll see any more like him, though we'll never want for enemies.",,1,JAHEIRAJ
1516,Jaheira,*yawn*... I'm... I live to see the Earthmother's dawn once more? Then... then you have succeeded. Excellent. And Ployer? What of him?,,1,JAHEIRAJ
1521,Jaheira,Indeed. I am glad to be rid of his foul curse. Odd bit of magic that. Onward then. I am fit for travel.,,1,JAHEIRAJ
1522,Jaheira,"I am, I am. With luck, we shall not meet the like of him again. With luck.",,1,JAHEIRAJ
1523,Jaheira,There is no need to get excited. I am sorry to have caused such trouble. I shall just die outright in the future. Do not say a word. Let us go.,,1,JAHEIRAJ
1524,Jaheira,Good riddance. It was years overdue. Most of his ilk in my past suffered a more final version of Harper justice. Let us go; I have sat about too long.,,1,JAHEIRAJ
1525,Jaheira,"The mages with him wore odd colors that might be traceable. Ask at the government building, as all magic is regulated in Athkatla. If they will talk...",,1,JAHEIRAJ
1653,Jaheira,No deals for a slayer of Harpers.,JAHEIRC9,1,JAHEIRAJ
1656,Jaheira,"I'm... I'm fine, Bernard. I just need...",,1,JAHEIRAJ
1658,Jaheira,"Bernard, I'm FINE. I just need... need some information. I need to find Belgrade.",,1,JAHEIRAJ
1661,Jaheira,"BERNARD! Bernard, this is important. I need to contact him. I know you can connect with the network when you need to, so...",,1,JAHEIRAJ
1663,Jaheira,D... dead? When?,,1,JAHEIRAJ
1665,Jaheira,"Bernard, please. I need to know where they found Belgrade. I also need to know if you have seen Baron Ployer.",,1,JAHEIRAJ
1667,Jaheira,"I see... Thank you, Bernard. I... I really must be going now.",,1,JAHEIRAJ
1689,Jaheira,"Drenden, I... I am dying.",,1,JAHEIRAJ
1691,Jaheira,No arguments from... from me.,,1,JAHEIRAJ
1693,Jaheira,"Drenden, they have done nothing to me... I am... cursed. It cannot be removed. I cannot... I feel...",,1,JAHEIRAJ
1695,Jaheira,It's... all right. Find... find Ployer and...,,1,JAHEIRAJ
2093,Minsc,"Boo says fight hard, so I fight hard.",MINSC46,1,BMINSC
2095,Minsc,Space hamsters are never wrong!,,1,BMINSC
2306,Minsc,AHHHH! Minsc will be free! These bonds will not hold my wrath! Butts will be liberally kicked in good measure!,MINSC01,1,MINSCA
2364,Minsc,Time is short for talk that is small! Release me! I will rain beatings down upon all who have dared touch me and... and... Dynaheir! She will be avenged!,,1,MINSCA
2373,Minsc,NO! No control! No mercy! I will avenge... avenge... Dynaheir!,,1,MINSCA
2381,Minsc,"I know not who has done this, but I will avenge most viciously the wrongs they... the wrongs... Dynaheir! I will cave their skulls for what they have done!",,1,MINSCA
2382,Minsc,"I will continue my adventures with you, and... and... those that do evil will pay dearly for their actions! So swears Minsc! On Dynaheir's grave, so swear I!",,1,MINSCA
2383,Minsc,I will exact penance from each and every wicked soul that dared lay a finger on...,,1,MINSCA
2384,Minsc,"Will you help? We must join together once more, and our fury will be such that bards will run their quills dry! Yes, ink will be scarce where'er we go!",,1,MINSCA
2411,Minsc,"Trapped? Her spirit... her spirit is trapped in a cage created by my failure. I was to guard her, but she... she...",,1,MINSCA
2486,Minsc,"Boo points, I punch! Is very simple relationship, but it is effective.",MINSC49,1,MINSCJ
2524,Minsc,"Reconsider! I will rage as never before, and those in my path will fall left, right, and 'round the back! Dynaheir is... she is dead, and I will not rest...",,1,MINSCA
2525,Minsc,"If anything, I shall be even more single-minded in my focus! Minsc is Minsc, and it shall always be so. Come, Boo, we are among friends again!",,1,MINSCA
2530,Minsc,"Come, we must go now. Yes, Minsc and Boo and you, together again. Beware villains! I will force justice down your evil, evil throats!",,1,MINSCA
2531,Minsc,"You are filth... that I called friend! Do not make me add your ass to the kicking list! I would do so reluctantly, but I will do it! Choose your path now!",,1,MINSCA
2534,Minsc,"You lie! You freed yourself, and now you will not free me! Such villainy! Boo sees what you are doing!",,1,MINSCA
2540,Minsc,"Come, Boo, we must go! What? Yes, of course. My hamster says he will miss you. Such loyalty you inspire, even in rodents. Be proud, as Minsc is.",,1,MINSCA
2547,Minsc,"Minsc and Boo are Minsc and Boo, and we shall not be separated. Shall we go? The butts of evil await my bootprint!",,1,MINSCA
2550,Minsc,"Boo is the best purchase I ever made, and despite my head wound I could tell that his previous owner was good and honest. Boo is an asset to us all!",,1,MINSCA
2564,Minsc,"I have lost myself in your words, but Boo thinks you're just ducky. Onward!",,1,MINSCA
2632,Minsc,We do good things here! All will remember the heroes that are Minsc and Boo and you!,MINSC78,1,MINSCJ
2648,Minsc,"Nonsense! All enjoy the sight of heroes. We'll be the talk of the town for days! Wave to the nice people, Boo. Wave to the nice hamster, people. WAVE!",,1,MINSCJ
2650,Minsc,"Yes! Lead evil by example, and one day we need no longer put the boots to those that stray off the path of goodness into the muck and bile of villainy and track great bloody footprints across our lily-white tiles! Boo will have clean wood shavings, you evil bastards!",,1,MINSCJ
2651,Minsc,"Good has no need of low profiles! There is no shame in boasting if one follows through, and I am not about to keep my voice low! Perhaps Boo will, but not I!",,1,MINSCJ
2669,Minsc,"We follow the path that surely leads to glory! Boo is proud to be here, I can tell.",MINSC79,1,MINSCJ
2674,Minsc,"Then say it louder! We must inspire fear in evil! Quiet tales of hamsters are foolish, but a man and his hamster that tear evil limb from limb? That's scary!",,1,MINSCJ
2676,Minsc,"Now you are speaking the language of Minsc! Next we must get you a hamster! Or perhaps an ice weasel, whatever your tastes.",,1,MINSCJ
2677,Minsc,It's good that I know you are kidding. I would hate to have to cleanse my own party of evil. Always strive to be on the safe end of the justice boot.,,1,MINSCJ
2678,Minsc,"I know I think clearly because Boo tells me so. That is enough for me, though it never seems to be enough for anyone else. Their loss, for I am content.",,1,MINSCJ
2682,Minsc,"As long as some are scared and tell the rest, that is all that matters. Come, we must press on against the tide of naughtiness. Mind your step.",,1,MINSCJ
2683,Minsc,"I don't understand the reference, but Boo enjoyed it. An omen of good things... or of horrible and humorous death, I am not sure which.",,1,MINSCJ
2684,Minsc,These acts will place our names in the songs of skalds and bards from here to my home! There can be no doubt.,MINSC80,1,MINSCJ
2685,Minsc,I will not tolerate actions such as this! We should strive to be just and fair.,MINSC81,1,MINSCJ
2689,Minsc,"When making a glorious egg dish of goodness, I understand some eggs must be broken. But actions such as this are... simply deplorable!",MINSC82,1,MINSCJ
2693,Minsc,"Words are just loud air. Actions must take priority in my mind. A phrase might cause some discomfort, but it is good deeds that cause evil the most pain.",,1,MINSCJ
2694,Minsc,"That is all that can be asked. A crusade might be better, but few have the focus required. I will be the example if anyone wishes to follow in my wake.",,1,MINSCJ
2695,Minsc,"A hero needs no profit. A sword is just a few coins; armor is only a few more. No, it is evil that needs gold to fund their machinations, not heroes.",,1,MINSCJ
2696,Minsc,"I, uh... I could use a bit of a lie-down... lest I drop Boo on the battlefield. Have we a healer near?",MINSC83,1,MINSCJ
2700,Minsc,"Yes, that would be best. I should not like evil to get the jump on a weakened Minsc. We must be at our best for the fight to come.",,1,MINSCJ
2701,Minsc,Minsc is no weakling! I have survived more than you could bear! It is just unwise to let wounds go untreated! Enemies will find their work half done already!,,1,MINSCJ
2702,Minsc,"I know this, but Boo worries.",,1,MINSCJ
2703,Minsc,Ugh! We must rest and get healthy. It would not do for us to be caught unsuspecting with Minsc in this kind of shape.,MINSC84,1,MINSCJ
2704,Minsc,I do not get through many battles without injury. Why is Minsc always on the front line taking damage?,MINSC85,1,MINSCJ
2713,Minsc,"Perhaps I am a touch quick to combat, but I temper my temper with common sense about who I should attack. What? I do too! Why does Boo snicker?",,1,MINSCJ
2716,Yoshimo,"So, there is sanity in all this madness. If you are not in league with the evil that dwells in this unholy place, Yoshimo begs your assistance.",YOSHIM01,1,YOSHIMO
2717,Minsc,"If I protect more people by being at the forefront, then so be it! I shall charge in an instant and make my enemies sorry they were born as bad as they are!",,1,MINSCJ
2722,Yoshimo,"I share your sentiments. I have seen much here that has disturbed me. I myself am a warrior with no evil intentions. Please, I would welcome any assistance you might offer.",,1,YOSHIMO
2730,Yoshimo,"I am no fiend! I am Yoshimo! You know, Yoshimo?",,1,YOSHIMO
2734,Yoshimo,I do not know how long I was there before awaking.,,1,YOSHIMO
2735,Minsc,"If that is what you think, then you do not know Minsc. I never cower! Boo does, but he fears being underfoot. I do not! I am the over-foot placing evil at end-of-boot!",,1,MINSCJ
2738,Yoshimo,I do not know a way to escape this place. Perhaps we could search for this exit together.,,1,YOSHIMO
2740,Yoshimo,"These little beasties keep coming in through the portals. Perhaps if the portals are destroyed, one could defeat the beasts that have already come through.",,1,YOSHIMO
2741,Yoshimo,Perhaps then Yoshimo's predicament won't seem so funny!,,1,YOSHIMO
2744,Yoshimo,"You must be new to Amn, or at least Athkatla.",,1,YOSHIMO
2747,Yoshimo,"At last, an admirer! I do not know a way to escape this place. Perhaps we could search for this exit together.",,1,YOSHIMO
2751,Yoshimo,"If it was the former, this place could be anywhere. If it was the latter, then I don't imagine that I could have traveled very far without noticing.",,1,YOSHIMO
2755,Yoshimo,What do you need to know?,,1,YOSHIMO
2759,Yoshimo,"If you are ever in Athkatla and need some assistance, I reside at the Copper Coronet, an inn of some renown. First, however, a warning...",,1,YOSHIMO
2761,Yoshimo,I shall survive by taking the wise path. Go ahead and forge the trail. I will follow your path once I have rested a bit.,,1,YOSHIMO
2762,Yoshimo,I shall be happy to lend my blade to your cause. There are two things that I have discovered about this place that may help us escape.,,1,YOSHIMO
2763,Yoshimo,You have changed your mind? Shall we draw our blades with a common purpose?,,1,YOSHIMO
2766,Yoshimo,"Ah, my desperate, imprisoned friends! You are still alive and enjoying Athkatla's bounty, I see.",YOSHIM62,1,YOSHIMO
2770,Yoshimo,"I agree. Welcome to the Copper Coronet, my home here in Athkatla. What can Yoshimo offer you? Information? Contacts? Equipment? Perhaps you would like me to join you?",,1,YOSHIMO
2774,Minsc,"If you don't care about your party, then it will be you that is left on the battlefield eventually! I can only fight as long as I have my health...",,1,MINSCJ
2775,Yoshimo,"There is no need to hurt Yoshimo's delicate feelings. You have dishonored me before these drunkards, thieves, and gamblers. I may never live this down.",,1,YOSHIMO
2776,Yoshimo,Come back and see me when you have more time.,,1,YOSHIMO
2777,Yoshimo,I know of nothing specific here. I would talk to others in this place... adventure always finds its way here. The docks is also an interesting place to find work.,,1,YOSHIMO
2783,Yoshimo,"The barkeep's name is Bernard. He will sell you high-quality equipment at a reasonable price. If you have the time, though, I would suggest the Adventure Mart in the promenade.",,1,YOSHIMO
2788,Yoshimo,I would be honored to wield my sword for you.,,1,YOSHIMO
2789,Yoshimo,"Oh, taker of my honor, do not return to torment me further. Unless you have come to take back your cruel words, I ask you to leave now.",YOSHIM61,1,YOSHIMO
2792,Yoshimo,"Welcome to the Copper Coronet, my home here in Athkatla. What can Yoshimo offer you? Information? Contacts? Equipment? Perhaps you would like me to join you?",,1,YOSHIMO
