Speaker,DLGFile,Chapter,Priority,Notes
Ajantd,BAERIE.DLG,Unassigned,3,
Ajantd,VAELAS.DLG,Unassigned,3,
Ajanti,AJANTI.DLG,Unassigned,3,
Ajanti,BAERIE.DLG,Unassigned,3,
Ajanti,BCERND.DLG,Unassigned,3,
Ajanti,BMAZZY.DLG,Unassigned,3,
Ajanti,ELDERS.DLG,Unassigned,3,
Ajanti,IDJINNI.DLG,Unassigned,3,
Ajanti,JAREVIA.DLG,Unassigned,3,
Ajanti,LASSAL.DLG,Unassigned,3,
Ajanti,NALIAJ.DLG,Unassigned,3,
Ajanti,VALYGARP.DLG,Unassigned,3,
Ajanti,VAMPIRE1.DLG,Unassigned,3,
Ajantj,AJANTJ.DLG,Unassigned,3,
Ajantj,ESCORT1.DLG,Unassigned,3,
Ajantp,AJANTP.DLG,Unassigned,3,
Ajantp,BEGGAR3.DLG,Unassigned,3,
Ajantp,GENIE2.DLG,Unassigned,3,
Ajantp,KGENIE2.DLG,Unassigned,3,
Ajantp,NOBLE1.DLG,Unassigned,3,
Ajantp,NOBLE2.DLG,Unassigned,3,
Ajantp,SHOP01.DLG,Unassigned,3,
Ajantp,SHOP1.DLG,Unassigned,3,
Akae,AKAE.DLG,Unassigned,3,
Alanbl,ALANBL.DLG,Unassigned,3,
Alanbl,BVICONI.DLG,Unassigned,3,
Alanbl,SETHLE.DLG,Unassigned,3,
Algern,ALGERN.DLG,Unassigned,3,
Algern,SLAVER1.DLG,Unassigned,3,
Aloraj,ALORAJ.DLG,Unassigned,3,
Aloraj,ESCORT1.DLG,Unassigned,3,
Alorap,ALORAP.DLG,Unassigned,3,
Alorap,ESCORT1.DLG,Unassigned,3,
Alorap,GENIE2.DLG,Unassigned,3,
Alorap,JAHEIRAP.DLG,Unassigned,3,
Alorap,KGENIE2.DLG,Unassigned,3,
Alorap,NOBLE2.DLG,Unassigned,3,
Alvahe,ALVAHE.DLG,Unassigned,3,
Alvahe,GUARD1.DLG,Unassigned,3,
Alvahe,JAHEIRAP.DLG,Unassigned,3,
Alynar,ALYNAR.DLG,Unassigned,3,
Amaran,AMARAN.DLG,Unassigned,3,
Amaran,IGOLEM1.DLG,Unassigned,3,
Amaran,KELDORP.DLG,Unassigned,3,
Amarch01,AMARCH01.DLG,Unassigned,3,
Amarch02,AMARCH02.DLG,Unassigned,3,
Amasana,AMASANA.DLG,Unassigned,3,
Ambar01,AMBAR01.DLG,Unassigned,3,
Amboy01,AMBOY01.DLG,Unassigned,3,
Amcapt01,AMCAPT01.DLG,Unassigned,3,
Amcarras,AMCARRAS.DLG,Unassigned,3,
Amcler01,AMCLER01.DLG,Unassigned,3,
Amcler02,AMCLER02.DLG,Unassigned,3,
Amcst01,AMCST01.DLG,Unassigned,3,
Amcst02,AMCST02.DLG,Unassigned,3,
Amcst03,AMCST03.DLG,Unassigned,3,
Amcst04,AMCST04.DLG,Unassigned,3,
Amcust01,AMCUST01.DLG,Unassigned,3,
Amelm01,AMELM01.DLG,Unassigned,3,
Amfaheed,AMFAHEED.DLG,Unassigned,3,
Amfem01,AMFEM01.DLG,Unassigned,3,
Amfem02,AMFEM02.DLG,Unassigned,3,
Amgirl01,AMGIRL01.DLG,Unassigned,3,
Amgrav01,AMGRAV01.DLG,Unassigned,3,
Amia,AMIA.DLG,Unassigned,3,
Amintb01,AMINTB01.DLG,Unassigned,3,
Amintm01,AMINTM01.DLG,Unassigned,3,
Amlich01,AMLICH01.DLG,Unassigned,3,
Ammag01,AMMAG01.DLG,Unassigned,3,
Ammajira,AMMAJIRA.DLG,Unassigned,3,
Amman01,AMMAN01.DLG,Unassigned,3,
Amman02,AMMAN02.DLG,Unassigned,3,
Ammayor,AMMAYOR.DLG,Unassigned,3,
Ammerc01,AMMERC01.DLG,Unassigned,3,
Ammerc02,AMMERC02.DLG,Unassigned,3,
Ammerc03,AMMERC03.DLG,Unassigned,3,
Ammerc04,AMMERC04.DLG,Unassigned,3,
Ammerc07,AMMERC07.DLG,Unassigned,3,
Ammgrd01,AMMGRD01.DLG,Unassigned,3,
Ammgrd02,AMMGRD02.DLG,Unassigned,3,
Ammgrd05,AMMGRD05.DLG,Unassigned,3,
Ammonk01,AMMONK01.DLG,Unassigned,3,
Ammonk02,AMMONK02.DLG,Unassigned,3,
Ammonk03,AMMONK03.DLG,Unassigned,3,
Amncen1,AMNCEN1.DLG,Unassigned,3,
Amng1,AMNG1.DLG,Unassigned,3,
Amng2,AMNG2.DLG,Unassigned,3,
Amnis2,AMNIS2.DLG,Unassigned,3,
Amnis2,ARAN.DLG,Unassigned,3,
Amnis2,BAERIE.DLG,Unassigned,3,
Amnis2,BHAERDA.DLG,Unassigned,3,
Amnis2,BJAHEIR.DLG,Unassigned,3,
Amnis2,BKELDOR.DLG,Unassigned,3,
Amnis2,BMINSC.DLG,Unassigned,3,
Amnise,AMNISE.DLG,Unassigned,3,
Amnise,BJAHEIR.DLG,Unassigned,3,
Amnish,AMNISH.DLG,Unassigned,3,
Amnish,BVICONI.DLG,Unassigned,3,
Amnlegs,AMNLEGS.DLG,Unassigned,3,
Amsaemon,AMSAEMON.DLG,Unassigned,3,
Amsi,AMSI.DLG,Unassigned,3,
Amsleep,AMSLEEP.DLG,Unassigned,3,
Amsleep,BVICONI.DLG,Unassigned,3,
Amsmith,AMSMITH.DLG,Unassigned,3,
Amsmug01,AMSMUG01.DLG,Unassigned,3,
Amsmug02,AMSMUG02.DLG,Unassigned,3,
Amtgen01,AMTGEN01.DLG,Unassigned,3,
Amwar01,AMWAR01.DLG,Unassigned,3,
Amwar02,AMWAR02.DLG,Unassigned,3,
Amwar03,AMWAR03.DLG,Unassigned,3,
Amwenc01,AMWENC01.DLG,Unassigned,3,
Ancan,ANCAN.DLG,Unassigned,3,
Ancan,OBSSOL03.DLG,Unassigned,3,
Andars,ANDARS.DLG,Unassigned,3,
Andars,HERVO.DLG,Unassigned,3,
Andout,ANDOUT.DLG,Unassigned,3,
Andout,VALYGAR.DLG,Unassigned,3,
Andris,ANDRIS.DLG,Unassigned,3,
Andris,ANOMEN.DLG,Unassigned,3,
Andris,BEAST.DLG,Unassigned,3,
Andris,COPCUST1.DLG,Unassigned,3,
Andris,COPCUST3.DLG,Unassigned,3,
Andris,RYLOCK.DLG,Unassigned,3,
Angeli,ANGELI.DLG,Unassigned,3,
Angeli,BJAHEIR.DLG,Unassigned,3,
Anno1,ANNO1.DLG,Unassigned,3,
Anno1,FALDOP.DLG,Unassigned,3,
Anome25A,ANOME25A.DLG,Unassigned,3,
Anome25J,ANOME25J.DLG,Unassigned,3,
Anome25J,ANOMENJ.DLG,Unassigned,3,
Anome25P,ANOME25P.DLG,Unassigned,3,
Anomen,ANOMEN.DLG,Unassigned,3,
Anomen,ANOMENJ.DLG,Unassigned,3,
Anomen,BANDIC.DLG,Unassigned,3,
Anomen,BELAND.DLG,Unassigned,3,
Anomen,DEZKIEL.DLG,Unassigned,3,
Anomen,DRUID2.DLG,Unassigned,3,
Anomen,DRUIDC.DLG,Unassigned,3,
Anomen,DRUNK.DLG,Unassigned,3,
Anomen,FCOOK2.DLG,Unassigned,3,
Anomen,FCOOK3.DLG,Unassigned,3,
Anomen,FECOOK.DLG,Unassigned,3,
Anomen,FLAM10.DLG,Unassigned,3,
Anomen,FLAMBG.DLG,Unassigned,3,
Anomen,FTOBE2.DLG,Unassigned,3,
Anomen,FTOBE6.DLG,Unassigned,3,
Anomen,FTOWB3.DLG,Unassigned,3,
Anomen,HAFFG2.DLG,Unassigned,3,
Anomen,HALFEN.DLG,Unassigned,3,
Anomen,HALFFG.DLG,Unassigned,3,
Anomen,HALFG3.DLG,Unassigned,3,
Anomen,HALFG4.DLG,Unassigned,3,
Anomen,HALFG6.DLG,Unassigned,3,
Anomen,HOUSG4.DLG,Unassigned,3,
Anomen,HOUSG6.DLG,Unassigned,3,
Anomen,IRON13.DLG,Unassigned,3,
Anomen,IRON14.DLG,Unassigned,3,
Anomen,IRON4.DLG,Unassigned,3,
Anomen,IRONM3.DLG,Unassigned,3,
Anomen,ITHTYL.DLG,Unassigned,3,
Anomen,MCOOK5.DLG,Unassigned,3,
Anomen,MTOB5.DLG,Unassigned,3,
Anomen,MTOB6.DLG,Unassigned,3,
Anomen,MTOWF2.DLG,Unassigned,3,
Anomen,NOBL9.DLG,Unassigned,3,
Anomen,OGRMA2.DLG,Unassigned,3,
Anomen,SERVA2.DLG,Unassigned,3,
Anomen,SMITH.DLG,Unassigned,3,
Anomen,STHIEF.DLG,Unassigned,3,
Anomen,WAITER.DLG,Unassigned,3,
Anomen,WILTON.DLG,Unassigned,3,
Anomen,YESLIC.DLG,Unassigned,3,
Anomenp,ANOMENP.DLG,Unassigned,3,
Anomenp,BARESH.DLG,Unassigned,3,
Antenos,ANTENOS.DLG,Unassigned,3,
Aoln,AOLN.DLG,Unassigned,3,
Aoln,JAHEIRAJ.DLG,Unassigned,3,
Aoln,JAREVIA.DLG,Unassigned,3,
Aoln,VALYGAR.DLG,Unassigned,3,
Appar,APPAR.DLG,Unassigned,3,
Appar,CGUARD1.DLG,Unassigned,3,
Appar,SPECH2.DLG,Unassigned,3,
Aran,ARAN.DLG,Unassigned,3,
Aran,DRYAD.DLG,Unassigned,3,
Aran,HUNTER.DLG,Unassigned,3,
Aran,IRON11.DLG,Unassigned,3,
Aran,NEERAJ.DLG,Unassigned,3,
Aran,SLAVE4.DLG,Unassigned,3,
Aran,SLAVE5.DLG,Unassigned,3,
Aran,VOLO.DLG,Unassigned,3,
Aran02,ARAN02.DLG,Unassigned,3,
Ardrou,ARDROU.DLG,Unassigned,3,
Ardrou,GENIE1.DLG,Unassigned,3,
Ardrou,KGENIE1.DLG,Unassigned,3,
Ardrou,SHOP01.DLG,Unassigned,3,
Ardrou,SHOP1.DLG,Unassigned,3,
Arenthis,ARENTHIS.DLG,Unassigned,3,
Argrim,ARGRIM.DLG,Unassigned,3,
Arkush,ARKUSH.DLG,Unassigned,3,
Arkush,DEGARD.DLG,Unassigned,3,
Arkush,EDWIN.DLG,Unassigned,3,
Arkush,EDWINJ.DLG,Unassigned,3,
Arkush,EDWINW.DLG,Unassigned,3,
Arkush,ILYICH.DLG,Unassigned,3,
Arkush,TOLGER.DLG,Unassigned,3,
Arled,ARLED.DLG,Unassigned,3,
Arnboy01,ARNBOY01.DLG,Unassigned,3,
Arnfgt03,ARNFGT03.DLG,Unassigned,3,
Arnfgt04,ARNFGT04.DLG,Unassigned,3,
Arnfgt06,ARNFGT06.DLG,Unassigned,3,
Arngrl01,ARNGRL01.DLG,Unassigned,3,
Arnman01,ARNMAN01.DLG,Unassigned,3,
Arnman02,ARNMAN02.DLG,Unassigned,3,
Arnman03,ARNMAN03.DLG,Unassigned,3,
Arnman04,ARNMAN04.DLG,Unassigned,3,
Arnman05,ARNMAN05.DLG,Unassigned,3,
Arnman06,ARNMAN06.DLG,Unassigned,3,
Arnman07,ARNMAN07.DLG,Unassigned,3,
Arnman08,ARNMAN08.DLG,Unassigned,3,
Arnman09,ARNMAN09.DLG,Unassigned,3,
Arnman10,ARNMAN10.DLG,Unassigned,3,
Arnman11,ARNMAN11.DLG,Unassigned,3,
Arntra01,ARNTRA01.DLG,Unassigned,3,
Arntra02,ARNTRA02.DLG,Unassigned,3,
Arntra04,ARNTRA04.DLG,Unassigned,3,
Arntra05,ARNTRA05.DLG,Unassigned,3,
Arnwar06,ARNWAR06.DLG,Unassigned,3,
Arnwar07,ARNWAR07.DLG,Unassigned,3,
Arnwar08,ARNWAR08.DLG,Unassigned,3,
Artola,ARTOLA.DLG,Unassigned,3,
Artola,IDJINNI.DLG,Unassigned,3,
Ashen,ASHEN.DLG,Unassigned,3,
Ashen,ILYICH.DLG,Unassigned,3,
Avery,AVERY.DLG,Unassigned,3,
Avery,BAERIE.DLG,Unassigned,3,
Avery,BMAZZY.DLG,Unassigned,3,
Avery,BMINSC.DLG,Unassigned,3,
Avery,BVICONI.DLG,Unassigned,3,
Avery,CERNDJ.DLG,Unassigned,3,
Baerie,BAERIE.DLG,Unassigned,3,
Baerie,ELDOTD.DLG,Unassigned,3,
Baerie,FARM4.DLG,Unassigned,3,
Baerie,HALFTR.DLG,Unassigned,3,
Baerie,HOUSG4.DLG,Unassigned,3,
Baerie,LENORE.DLG,Unassigned,3,
Baerie,MONKD2.DLG,Unassigned,3,
Baerie,MONKDE.DLG,Unassigned,3,
Baerie,MTOB3.DLG,Unassigned,3,
Baerie,NOBL2.DLG,Unassigned,3,
Baerie,PIQUE.DLG,Unassigned,3,
Baerie,POGHM3.DLG,Unassigned,3,
Baerie,POGHM4.DLG,Unassigned,3,
Baerie,R179.DLG,Unassigned,3,
Baerie,READ2.DLG,Unassigned,3,
Baerie,SATOS.DLG,Unassigned,3,
Baerie,SHELTO.DLG,Unassigned,3,
Baerie,SHOPNYMP.DLG,Unassigned,3,
Baerie,UTOR.DLG,Unassigned,3,
Baerie,WATCHM.DLG,Unassigned,3,
Baerie,YAGO.DLG,Unassigned,3,
Baerie25,BAERIE25.DLG,Unassigned,3,
Balth,BALTH.DLG,Unassigned,3,
Bamng01,BAMNG01.DLG,Unassigned,3,
Bamng02,BAMNG02.DLG,Unassigned,3,
Bandic,BANDIC.DLG,Unassigned,3,
Bandic,COUNSEC.DLG,Unassigned,3,
Banditcy,BANDITCY.DLG,Unassigned,3,
Banditcy,BVICONI.DLG,Unassigned,3,
Banmer,BANMER.DLG,Unassigned,3,
Banmer,BJAHEIR.DLG,Unassigned,3,
Banmer,JANJ.DLG,Unassigned,3,
Banmer,LISSA.DLG,Unassigned,3,
Banmer,MAJAN.DLG,Unassigned,3,
Banmer,TAT.DLG,Unassigned,3,
Banmer,TOT.DLG,Unassigned,3,
Banome25,BANOME25.DLG,Unassigned,3,
Banome25,BDORN25.DLG,Unassigned,3,
Banomen,BANOMEN.DLG,Unassigned,3,
Banomen,BEGGBA.DLG,Unassigned,3,
Banomen,BOUNTY.DLG,Unassigned,3,
Banomen,BOYBE1.DLG,Unassigned,3,
Banomen,BOYBE2.DLG,Unassigned,3,
Banomen,CHHELP.DLG,Unassigned,3,
Banomen,CYDERM.DLG,Unassigned,3,
Banomen,DOOMSAY.DLG,Unassigned,3,
Banomen,FLAM4.DLG,Unassigned,3,
Banomen,FLAM5.DLG,Unassigned,3,
Banomen,FTOBE8.DLG,Unassigned,3,
Banomen,FTOWB4.DLG,Unassigned,3,
Banomen,FTOWB5.DLG,Unassigned,3,
Banomen,FTOWB7.DLG,Unassigned,3,
Banomen,GIRLBE.DLG,Unassigned,3,
Banomen,ITHTYL.DLG,Unassigned,3,
Banomen,LAOLA.DLG,Unassigned,3,
Banomen,LOBAR.DLG,Unassigned,3,
Banomen,MCOOK2.DLG,Unassigned,3,
Banomen,MCOOK4.DLG,Unassigned,3,
Banomen,MTOB5.DLG,Unassigned,3,
Banomen,MTOB9.DLG,Unassigned,3,
Banomen,PANGWA.DLG,Unassigned,3,
Banomen,PNASHK.DLG,Unassigned,3,
Banomen,POE.DLG,Unassigned,3,
Banomen,POGHM2.DLG,Unassigned,3,
Banomen,POGHM3.DLG,Unassigned,3,
Banomen,POGHM4.DLG,Unassigned,3,
Banomen,PROSLA.DLG,Unassigned,3,
Banomen,PROST2.DLG,Unassigned,3,
Banomen,TORLOB.DLG,Unassigned,3,
Banomen,TRAVE2.DLG,Unassigned,3,
Banomen,VOLO.DLG,Unassigned,3,
Bardol,BARDOL.DLG,Unassigned,3,
Bardol,KSLAVE01.DLG,Unassigned,3,
Baresh,BARESH.DLG,Unassigned,3,
Baresh,LUSETTE.DLG,Unassigned,3,
Baresh,NALIAP.DLG,Unassigned,3,
Baresh,THESHAL.DLG,Unassigned,3,
Baresh,THUMB.DLG,Unassigned,3,
Baresh,YOSHP.DLG,Unassigned,3,
Barl,BARL.DLG,Unassigned,3,
Baronp,BARONP.DLG,Unassigned,3,
Baronp,FRIWEN.DLG,Unassigned,3,
Baronp,FUCKYU.DLG,Unassigned,3,
Baronp,IRONHO.DLG,Unassigned,3,
Barsail1,BARSAIL1.DLG,Unassigned,3,
Barsail2,BARSAIL2.DLG,Unassigned,3,
Bazdra01,BAZDRA01.DLG,Unassigned,3,
Bazdra03,BAZDRA03.DLG,Unassigned,3,
Bazeye01,BAZEYE01.DLG,Unassigned,3,
Bazmonk,BAZMONK.DLG,Unassigned,3,
Bazpat01,BAZPAT01.DLG,Unassigned,3,
Bazpat02,BAZPAT02.DLG,Unassigned,3,
Bazpat03,BAZPAT03.DLG,Unassigned,3,
Bbegg1,BBEGG1.DLG,Unassigned,3,
Bbegg2,BBEGG2.DLG,Unassigned,3,
Bcernd,BCERND.DLG,Unassigned,3,
Bcernd,BFALDO.DLG,Unassigned,3,
Bcernd,BORDA.DLG,Unassigned,3,
Bcernd,CUTEKI.DLG,Unassigned,3,
Bcernd,CUTSAR.DLG,Unassigned,3,
Bcernd,DOOMSAY.DLG,Unassigned,3,
Bcernd,ENNA.DLG,Unassigned,3,
Bcernd,GALLOR.DLG,Unassigned,3,
Bcernd,HALFEN.DLG,Unassigned,3,
Bcernd,HOUSEN.DLG,Unassigned,3,
Bcernd,JIM.DLG,Unassigned,3,
Bcernd,MONKDE.DLG,Unassigned,3,
Bcernd,MONKEN.DLG,Unassigned,3,
Bcernd,SERVA2.DLG,Unassigned,3,
Bcernd,THIEFF.DLG,Unassigned,3,
Bcernd,THIEFM.DLG,Unassigned,3,
Bcernd,TRIADO.DLG,Unassigned,3,
Bcernd25,BCERND25.DLG,Unassigned,3,
Bdact01,BDACT01.DLG,Unassigned,3,
Bdact02,BDACT02.DLG,Unassigned,3,
Bdact03,BDACT03.DLG,Unassigned,3,
Bdact04,BDACT04.DLG,Unassigned,3,
Bdact05,BDACT05.DLG,Unassigned,3,
Bdact06,BDACT06.DLG,Unassigned,3,
Bdact08,BDACT08.DLG,Unassigned,3,
Bdaud01,BDAUD01.DLG,Unassigned,3,
Bdaud02,BDAUD02.DLG,Unassigned,3,
Bdaud03,BDAUD03.DLG,Unassigned,3,
Bdbart01,BDBART01.DLG,Unassigned,3,
Bdcoun01,BDCOUN01.DLG,Unassigned,3,
Bdcoun02,BDCOUN02.DLG,Unassigned,3,
Bdgoph01,BDGOPH01.DLG,Unassigned,3,
Bdgoph02,BDGOPH02.DLG,Unassigned,3,
Bdhigg01,BDHIGG01.DLG,Unassigned,3,
Bdock1,BDOCK1.DLG,Unassigned,3,
Bdock2,BDOCK2.DLG,Unassigned,3,
Bdorn,BDORN.DLG,Unassigned,3,
Bdorn,BRASAAD.DLG,Unassigned,3,
Bdorn25,BDORN25.DLG,Unassigned,3,
Bdprst01,BDPRST01.DLG,Unassigned,3,
Bdturm01,BDTURM01.DLG,Unassigned,3,
Beast,BEAST.DLG,Unassigned,3,
Becky,BECKY.DLG,Unassigned,3,
Bedwin,BEDWIN.DLG,Unassigned,3,
Bedwin,CHIMP5.DLG,Unassigned,3,
Bedwin,CUTEKI.DLG,Unassigned,3,
Bedwin,FLAM10.DLG,Unassigned,3,
Bedwin,FLAM11.DLG,Unassigned,3,
Bedwin,FLAM6.DLG,Unassigned,3,
Bedwin,FLAM7.DLG,Unassigned,3,
Bedwin,FLAM9.DLG,Unassigned,3,
Bedwin,GALILE.DLG,Unassigned,3,
Bedwin,GOLINV.DLG,Unassigned,3,
Bedwin,HOUSG4.DLG,Unassigned,3,
Bedwin,HOUSG5.DLG,Unassigned,3,
Bedwin,IRON12.DLG,Unassigned,3,
Bedwin,MCOOK3.DLG,Unassigned,3,
Bedwin,MTOB2.DLG,Unassigned,3,
Bedwin,MTOB3.DLG,Unassigned,3,
Bedwin,MTOB5.DLG,Unassigned,3,
Bedwin,MTOB6.DLG,Unassigned,3,
Bedwin,MTOB7.DLG,Unassigned,3,
Bedwin,NOBL11.DLG,Unassigned,3,
Bedwin,PANGWA.DLG,Unassigned,3,
Bedwin,POE.DLG,Unassigned,3,
Bedwin,SCOTTY.DLG,Unassigned,3,
Bedwin,SERVAN.DLG,Unassigned,3,
Bedwin,SPANKY.DLG,Unassigned,3,
Bedwin,VOICE.DLG,Unassigned,3,
Bedwin25,BEDWIN25.DLG,Unassigned,3,
Beeloo,BEELOO.DLG,Unassigned,3,
Beggar1,BEGGAR1.DLG,Unassigned,3,
Beggar2,BEGGAR2.DLG,Unassigned,3,
Beggar2,GRETEK.DLG,Unassigned,3,
Beggar2,SHALAS.DLG,Unassigned,3,
Beggar3,BEGGAR3.DLG,Unassigned,3,
Beggar3,BRANWP.DLG,Unassigned,3,
Beggar3,GARKLA.DLG,Unassigned,3,
Beggar3,GENIE2.DLG,Unassigned,3,
Beggar3,MONTAR.DLG,Unassigned,3,
Beggar3,SEWERF.DLG,Unassigned,3,
Beggar3,YESLIP.DLG,Unassigned,3,
Beggba,BEGGBA.DLG,Unassigned,3,
Beggba,BKELDOR.DLG,Unassigned,3,
Beggba,BNALIA.DLG,Unassigned,3,
Beggba,BVICONI.DLG,Unassigned,3,
Beggba,CENANNY.DLG,Unassigned,3,
Beggba,KELDOR.DLG,Unassigned,3,
Beland,BELAND.DLG,Unassigned,3,
Beland,KELDORJ.DLG,Unassigned,3,
Beland,KORGANJ.DLG,Unassigned,3,
Beland,MINSCA.DLG,Unassigned,3,
Bellam,BELLAM.DLG,Unassigned,3,
Bellam,DRUNK1.DLG,Unassigned,3,
Belmin,BELMIN.DLG,Unassigned,3,
Bentan,BENTAN.DLG,Unassigned,3,
Bentan,BKORGAN.DLG,Unassigned,3,
Bentan,CENANNY.DLG,Unassigned,3,
Bentan,LASSAL.DLG,Unassigned,3,
Bentan,MOOK.DLG,Unassigned,3,
Bentha,BENTHA.DLG,Unassigned,3,
Bentha,HERVO.DLG,Unassigned,3,
Bentha,JAHEIRA.DLG,Unassigned,3,
Bentha,JAHEIRAP.DLG,Unassigned,3,
Bentha,KALAH2.DLG,Unassigned,3,
Bentha,LIFE2.DLG,Unassigned,3,
Berinvar,BERINVAR.DLG,Unassigned,3,
Berinvar,DAITEL.DLG,Unassigned,3,
Berinvar,DRADEE2.DLG,Unassigned,3,
Berinvar,STONEDL.DLG,Unassigned,3,
Bernard,BERNARD.DLG,Unassigned,3,
Bernard,BLANE.DLG,Unassigned,3,
Bernard,BOB.DLG,Unassigned,3,
Bernard,FTOWBA.DLG,Unassigned,3,
Bernard,LOWLGU.DLG,Unassigned,3,
Bernard,MTOWBA.DLG,Unassigned,3,
Bernard,NARRAT2.DLG,Unassigned,3,
Bernard,OHHFAK.DLG,Unassigned,3,
Bernard,R101.DLG,Unassigned,3,
Bernard,SURREY.DLG,Unassigned,3,
Bernard,TAMOKO3.DLG,Unassigned,3,
Berrun,BERRUN.DLG,Unassigned,3,
Berrun,JAHEIRAJ.DLG,Unassigned,3,
Berrun,JATERMIN.DLG,Unassigned,3,
Berrun,NALIAJ.DLG,Unassigned,3,
Berrun,TOLGER.DLG,Unassigned,3,
Bertrand,BERTRAND.DLG,Unassigned,3,
Bfaldo,BFALDO.DLG,Unassigned,3,
Bfaldo,FTOWN3.DLG,Unassigned,3,
Bfaldo,SLUMF1.DLG,Unassigned,3,
Bfaldo,SLUMF2.DLG,Unassigned,3,
Bfisher1,BFISHER1.DLG,Unassigned,3,
Bfishw1,BFISHW1.DLG,Unassigned,3,
Bftown1,BFTOWN1.DLG,Unassigned,3,
Bftown2,BFTOWN2.DLG,Unassigned,3,
Bftown3,BFTOWN3.DLG,Unassigned,3,
Bguard1,BGUARD1.DLG,Unassigned,3,
Bhaal01,BHAAL01.DLG,Unassigned,3,
Bhaerd25,BHAERD25.DLG,Unassigned,3,
Bhaerda,BHAERDA.DLG,Unassigned,3,
Bhaerda,DHANIA.DLG,Unassigned,3,
Bhaerda,FARMWE.DLG,Unassigned,3,
Bhaerda,GALLOR.DLG,Unassigned,3,
Bhaerda,LENORE.DLG,Unassigned,3,
Bhaerda,LOBAR.DLG,Unassigned,3,
Bhaerda,MALKAL.DLG,Unassigned,3,
Bhaerda,MCOOK.DLG,Unassigned,3,
Bhaerda,MCOOK3.DLG,Unassigned,3,
Bhaerda,MTOB2.DLG,Unassigned,3,
Bhaerda,NOBL5.DLG,Unassigned,3,
Bhaerda,SHELTO.DLG,Unassigned,3,
Bhaerda,TRIADO.DLG,Unassigned,3,
Bhalf1,BHALF1.DLG,Unassigned,3,
Bharval,BHARVAL.DLG,Unassigned,3,
Bharval,BHOISIG.DLG,Unassigned,3,
Bharval,FLAMEN.DLG,Unassigned,3,
Bhcrypt,BHCRYPT.DLG,Unassigned,3,
Bhelm,BHELM.DLG,Unassigned,3,
Bheren,BHEREN.DLG,Unassigned,3,
Bheren,BJAHEIR.DLG,Unassigned,3,
Bheren,BVICONI.DLG,Unassigned,3,
Bhexxa25,BHEXXA25.DLG,Unassigned,3,
Bhexxat,BHEXXAT.DLG,Unassigned,3,
Bhexxat,BKELDOR.DLG,Unassigned,3,
Bheye,BHEYE.DLG,Unassigned,3,
Bhgaal01,BHGAAL01.DLG,Unassigned,3,
Bhghoul1,BHGHOUL1.DLG,Unassigned,3,
Bhghoul1,STONE.DLG,Unassigned,3,
Bhghoul2,BHGHOUL2.DLG,Unassigned,3,
Bhghoul2,STONE.DLG,Unassigned,3,
Bhghoul3,BHGHOUL3.DLG,Unassigned,3,
Bhghoul3,STONEC.DLG,Unassigned,3,
