StrRef,Text
1224,"By the horns of Silvanus, I'll plant him beneath the Stones of Aisath if I... if I..."
1228,"No, I... I'm fine. I just felt a little strange for a moment. That... that fat excuse for a slaver, he's cursed me! Damn him!"
1232,"Try not to shout, please? My head is unsettled at the moment. There... it clears somewhat, but undoubtedly there will be more. That fat old slaver cursed me!"
1238,"For the moment, though I do feel a touch under the weather. Damn him! I'll see his slaving heart stopped for this!"
1243,"I doubt he would have bothered if the cure were quite so simple. If this curse was tailored to me, then we've no recourse but to exact its cure from his hide."
1244,"The Harpers do not operate like that. No, I bet only the one who cast it can remove it. It likely resists conventional means if it was tailored to me."
1245,I beg your pardon? I am to be cast out because of this? What is your reasoning?
1246,"That may be my only option. If it was tailored to me, it might resist removal by normal means. I doubt Ployer would have done this if the solution were simple."
1275,"I have a few options. Ployer mentioned that he lived in squalor, suggesting he may be in the poor section of the city. Not likely to find him quick though."
1276,"He also mentioned Belgrade, a merchant that helped expose Ployer. He frequents the Copper Coronet, and the bartender Bernard might know his whereabouts."
1277,"He also mentioned Belgrade, a merchant that helped expose Ployer. He frequents the Copper Coronet, and the bartender Bernard might know his whereabouts."
1282,"True, there is a lot of ground to cover, but it seemed clear that he lives in squalor. I would begin in the poor sections of the city. It will take some time."
1283,Again this side of you surfaces. I should not have believed your apologies in Irenicus's dungeon. I will not spend a... *cough*... a moment more in your company!
1284,"You *cough* surprise me. To think this cold streak was within and I had only glimpsed it until now. Well then, I will cause you no more inconvenience."
1287,"That is not *cough* amusing, and it's not the first time you have acted such. Perhaps you are colder than you let on, but I have little choice but to follow."
1288,There is always a better path than simply abandoning those that are weak. You will not keep allies by demonstrating that you are willing to sacrifice them.
1289,"Very well, though I should like to try and find Belgrade eventually. It has been... *cough*... it has been some time since we talked."
1290,A good first step. Hopefully he can give us some idea where Ployer might... *cough*... might be.
1327,Ooohhh... mm! I did not find resting at all comfortable last eve. I... *cough*... I just couldn't bring my eyes to close. My head pounds as thunder behind my temples.
1332,"Aye, that I am, but well enough to walk. I will see that Ployer pay for this. Blasted slaver!"
1333,"I am rested well enough. I will not coddle this curse. Sleeping may ease the aching, but it won't help remove it. Only finding that Ployer will do that."
1334,"Lazy, am I? I wouldn't wish a wasting on many, but you come close. Ah, I have no time to bicker. We must continue on lest this affliction progress too far."
1335,"I see. So despite assurances, you are indeed the bastard I thought you were after that stunt in Irenicus's jail. Oh, I remember, and I'll remember this too."
1338,"Do not joke so! I am in grave straits, and you mock my condition with talk of leaving?"
1343,You can get me Ployer. Never have I been so mad at another living thing. All this because he could not admit responsibility. He is irredeemable.
1346,"I see. Then I will waste no more of your time. I will seek help on my own, and damn you for being so cold. Farewell, <CHARNAME>. We will not meet again."
1347,"My very bones ache today. It is as though I age on the inside. Ohh, this cannot go on for long."
1353,"Oh, I shall certainly save it. I shall save it just long enough to bring the fury of Mother Earth upon that fat slaver that would imprison her children."
1358,What do you mean by that? Am I not worth the effort of rescue? Have you better things to do?
1372,"Forgive my outburst as well; I am... *cough*... I am not myself. Come, we must go. I will see that slaver pay for this."
1486,Despicable... *cough* *cough*... despicable wretch! You knew I would come here?
1489,"I am... I am not here to grovel, Ployer. You would sooner get that from my corpse!"
1491,"Iâ€” *COUGH* I AM NOT HERE TO GROVEL! I may be weak, even dying, but you WON'T get that! I have come to take what is mine! I (ehrm) will be free of you... of your..."
1508,"I feel... weak, but better. I... *cough* *cough*... I thank you for helping me through this. You have earned my gratitude and... ehh... and I should really get a full day of rest."
1513,"Ahh, yes, I'm the one with enemies we need to worry about. Do you even believe that yourself? Don't make me lau... ow... laugh."
1514,"I certainly hope so. Such weakness... I swear, if I meet his like again, I'll not let the courts spare him. I'll... I'll be better after a night's rest."
1515,"Like him? No. Well, perhaps, though he was certainly one of the more wretched. I doubt we'll see any more like him, though we'll never want for enemies."
1516,*yawn*... I'm... I live to see the Earthmother's dawn once more? Then... then you have succeeded. Excellent. And Ployer? What of him?
1524,Good riddance. It was years overdue. Most of his ilk in my past suffered a more final version of Harper justice. Let us go; I have sat about too long.
1525,"The mages with him wore odd colors that might be traceable. Ask at the government building, as all magic is regulated in Athkatla. If they will talk..."
1653,No deals for a slayer of Harpers.
1656,"I'm... I'm fine, Bernard. I just need..."
1658,"Bernard, I'm FINE. I just need... need some information. I need to find Belgrade."
1665,"Bernard, please. I need to know where they found Belgrade. I also need to know if you have seen Baron Ployer."
1667,"I see... Thank you, Bernard. I... I really must be going now."
1689,"Drenden, I... I am dying."
1691,No arguments from... from me.
1693,"Drenden, they have done nothing to me... I am... cursed. It cannot be removed. I cannot... I feel..."
1695,It's... all right. Find... find Ployer and...
9659,I said not to...
9695,<CHARNAME>! You do not need to...
11072,"I make claim that you are an affront to all nature. You are a disruption that will not be allowed, and I will fight with the power of my faith and conviction."
11170,"You will accept this challenge, and we will proceed! I will not have this place remain in your ""care""! By the Great Mother, you will not leave the duel alive!"
14332,"What is this ""clap"" you speak of, child? Enough. Begone, you are disturbing me."
14683,"He... Khalid... is dead, and has been so for some time! Beyond a point, there can be no raising, especially when the body has been... has been desecrated!"
14685,"Yes, there are greater spells that raise even the aged dead, but they leech from the caster, and I will not ask that of someone! Khalid would not have it!"
14687,"We live in a time of miracles, and nature allows the rebirth of many that have passed beyond the vale, but there is a time when... when it is better to let go."
14691,"You will not speak ill of my life with Khalid! I will answer such insults with lethal intent, and rightfully so! You cannot know... you cannot!"
14695,Your opinion is of a fool that thinks magic and spells are the ultimate forces that shape our lives! You will learn that some... some things are unalterable!
14696,"We cannot prevail here; best we leave until we can. Another day, another place; there will be righteous vengeance, but in its own time. Oh yes... in time."
14698,I doubt we would have come this far if a battle were not distracting our host! We will exact punishment when we can; there is no point in dying here.
14699,"I expect less of you with each utterance. I have said what I know, and you can take it or leave it. Ask around and you will know I speak the truth."
14700,"I was wondering the same, though we are not all that far from home and organizations can span continents. Perhaps it is not an individual that seeks our heads."
14706,I do not know the city well enough to give directions though. We will have to seek out the slums. Perhaps we may find who holds Imoen still.
14715,"Perhaps in the slums, we will find who planned this, or who has Imoen still. I have heard that the Copper Coronet is a good place to find information."
14981,"I can speak for myself, human. And I can assure you that I am not ""available,"" as you put it."
16092,"Do I know of you? Have you reason to subject me to your rude manner? I have no coin, if that is your wish."
16093,I do not follow by a stranger's command. Who are you?
16095,"I... Yes, I see. If you would give me a moment, I will do what needs be done."
16097,"Relax, <CHARNAME>, I will not be gone long. Please, I will explain when I return. I... I do not wish to be apart from you too long. I will return when I can."
16098,"Try not to worry, <CHARNAME>, I can take care of myself. I will return as soon as possible. I have obligations elsewhere that must be attended to."
16099,"I have obligations elsewhere. Worry not, I will return shortly. You will survive without me for a time."
16150,"No one is disputing that, but I do have obligations outside the group. I will return when I am able."
16433,"Remember your obligations elsewhere, <CHARNAME>. We have to go to the Harper Hold in Athkatla as soon as possible. It would not be good to keep them waiting too long."
16434,"We should make our way to the Harper Hold in Athkatla as soon as we are able. I do not look forward to the trip any more than you do, but we must."
16436,"Please, it is very important that we go to the Harper Hold in Athkatla. They were very insistent that I bring you there, and we must go soon."
16577,"I am a Harper in my heart; you know this. It is my duty to bring you to them, but... but I no more want to make the trip than you do. Nevertheless, we must go."
16579,"Very true, <CHARNAME>, but I am a Harper, as you know. They ask that I bring you. I will not make you go, and I will not leave you, but eventually we must."
16580,"Harpers will wait an eternity for vengeance or justice, though defining the two is sometimes difficult. They made it clear I was to bring you to them."
16583,"Please, do not make this difficult. I have a duty to take you, and I will not rest easy until we have gone. I will not force you, but eventually we must go."
16764,"Your welcome is forced, Galvarey. You know I am here at the bidding of the Herald. Why have you come to greet me? This is too important to waste time on you."
16795,You! You are no Herald! What is going on here?
16803,I know you are an ambitious fool. You cannot be sanctioned to do this. Even this gaudy base is against our usual restraint. The position of Herald requires...
16810,"Fine, set about with your questions so I can get on with my job as well."
16838,"Galvarey, siblings we are in Harper blood, but if you do not cease your tongue, I shall remove it!"
17017,"Mind yourself, <CHARNAME>, this is very serious."
17060,"Please, <CHARNAME>, do not make this difficult for yourself."
17086,"You are twisting <PRO_HISHER> words, Galvarey. That is not what <PRO_HESHE> meant."
17090,Why do you ask the question if you are going to infuse the answer with your own meaning? <CHARNAME> would never...
17177,This is a difficult situation! Would you react any different?
17216,What has *that* to do with anything?!
17325,"And also the sky, or the ocean! You are so intent on seeing what you wish the answer does not matter!"
17337,"And also of apples, or the rose! You are so intent on seeing what you wish the answer does not matter!"
17341,"And also of the sun above, or the daisy! You are so intent on seeing what you wish the answer does not matter!"
17345,"And also of the night sky, or the coat of a fine steed! You are so intent on seeing what you wish the answer does not matter!"
17433,"Thank you, but no. Tonight I am fine as I am."
17441,"But you were to see <CHARNAME> as <PRO_HESHE> is, not as you expected <PRO_HIMHER> to be! I was to bring <PRO_HIMHER> here so..."
17449,"I am sorry, <CHARNAME>, this was not my intent at all! I thought..."
17452,My... what?! You are questioning me?! You subject him to this... this witch hunt and you think I am the one that is to be questioned?
17454,And what if <PRO_HESHE> will restore the balance? What if <PRO_HISHER> intent is good?
17469,"Nay, Galvarey, there is but you and your four lackeys. I will have no part in this!"
17472,"<CHARNAME>, I... I will stand by your side if you will have me. You are... you are better than this, I know. I..."
17475,"So... so be it, then. I will... I must not... I will have no part in either side of this!"
17477,These are no friends of mine! I do not recognize them!
17479,"Harpers may interfere, but it is for the greater good! Not this! I don't know you!"
17480,"<CHARNAME>, you are my comrade in arms. I know you are good and true in heart. I will fight with you against this!"
17481,"<CHARNAME>, I am Harper. I cannot fight by your side against my own, but I will not take part in this! I... I cannot side with either. Goodbye."
17798,"What? If this is about the attack at the Harper Hold, you know I would not do such a thing if I had any alternative! They left me no choice!"
17800,"It was Galvarey; he had me bring my companion there on the pretense of determining <PRO_HISHER> danger, but he had no intention of letting <CHARNAME> leave once there."
17825,"If that is your wish, <CHARNAME>. Reviane, suffice to say that Galvarey had an unhealthy interest in my compatriot. You must trust me in this matter."
17826,"<CHARNAME> has proven that <PRO_HESHE> is not a slave to <PRO_HISHER> origins, just as Galvarey proved that calling oneself a Harper is not enough to make you one in your heart."
17831,"You must do as you will, Reviane. I have told you my circumstance; there is little more for me to say."
17840,"If you attack, you are no better than Galvarey. I will meet your threats with whatever force that I can! Do not do this. Harpers seek the truth..."
17846,"I will not draw arms against you, Reviane. This has been a huge mistake, and I will not be party to making another."
17882,"As am I, Reviane."
18237,Der... Dermin? Is that you? It has been some time.
18240,"Of... of course, you were the one that introduced me to the Harpers."
18242,"What... what are you getting at, Dermin?"
18325,I see. And what power has decided that I should be killed? I serve nature and protect the good of the land through my work as a Harper. Who have I offended?
18488,I have washed my hands of the incident in the Harper Hold. Galvarey was in the wrong and brought his fate upon himself.
18490,"He was in the wrong! Of that I am certain! Galvarey sought to imprison <CHARNAME> for his own gain, and I took the side of right. I could do no other!"
18493,"This is wrong, Dermin. This is not the right solution."
18498,"Do not concern yourself. This was the only course open, even if... I... I wish to not talk of this. This matter is... is behind me. Onward, we have much to do."
18499,"I thank you, <CHARNAME>, but part of me is gone. I... I will speak no more of this. This is behind me. I must go forward. Come, we have friends to avenge."
18500,Dermin... I...
18501,"Dermin, I cannot do as you ask. You are in the wrong, as was Galvarey. I was right to choose <CHARNAME>'s side, and it is your loss if you cannot see this."
18503,"This is not justice. This is revenge for a lie, a falsehood that none seem bothered to find the truth behind. If this is Harper justice, then I..."
18505,"If this is the justice you represent, then I... I renounce you. I renounce... I renounce my life as a Harper."
18507,"It would seem I am the only one that has thought any of this through. You do not, Galvarey did not, and now the Harpers out for blood do not."
18508,"I mourn many fellows of the Harp, but they died fighting for balance and truth. Galvarey did not, and this matter cheapens their loss. I will not be party to it."
18518,"It is their... it is my duty to ""meddle,"" <CHARNAME>. It is only this instance where they are wrong. I cannot go along with this."
18532,"No... no... I do not think it is. You are advocating revenge without thought. You are not giving the balance its due. I... I have little choice here, I think."
18534,"Dermin... Dermin, I renounce my life as a Harper."
18536,"You are right, of course, and <PRO_HESHE> has proven it. No, I think it best if I return to tending the balance with my druidic brethren."
18538,"That it is. <CHARNAME>, I know you will not upset the balance, but if you change, we will meet again. I will not be happy if you cheapen my choice here today."
18546,"It shall not be peaceful, but it is clearer than the course you are on. Goodbye, Dermin."
18551,"Garbage?! Do you comprehend the magnitude of what I have done?! Do you see... what... no, I will not cheapen this moment by arguing with you."
18552,"<CHARNAME>, find your own way. See to it that you continue the course we began. Do not make a liar of me, or we will meet again under violent circumstances."
18555,"You are no burden, <CHARNAME>; you are why I go on. I have friends to avenge, but life is also for the living. My life is worth pursuing. I... I hope you agree."
18556,"Come, enough sadness for the day. We have much to do, and... and together we will not fail."
18557,"I take strength from the group, but... more so in your company. I have friends to avenge, but life is also for the living. Life is worth pursuing. I... I hope you agree."
18639,"Not the way they tell it, Bernard. You know me, so trust in what I do."
19455,Then do so. I wish this matter behind me once and for all.
19689,Ah... I...
19699,I... I don't know.
19717,"Undoubtedly. I would do as such again without hesitation. <CHARNAME> is proven decent, and others are all the more fools for not seeing so."
19736,"I... I believe I have placed a proper name to your manner, now that I have experienced it up close. I should have thought you fond of anagrams, ""Terminsel."""
20543,Don't make deals with this scum! He won't keep hisâ€”mmmph!
20551,You lying son of a mMMPH!
20553,"Fight as best you can, <CHARNAME>â€”I am free of him!"
20555,Gllgghh!
20558,No! Blast you filthy bogslimes! Not again!
20563,Fight! I am free of him!
20564,You... you...
20565,You... you were pretty quick to give up your equipment.
20566,Are... are you all right?
20574,You IDIOT! Do you realize how easily he could have killed me?! That was the most irresponsible thing I have EVER had the misfortune of seeing!
20575,"Rest assured I'll not forget that! It's a wonder my head is still attached, or that yours ever was! Stand well back of me; I'm doubly careful from now on!"
20581,"Regardless, I had thought you made of sterner mettle. I was mistaken, and will not expect as such from ye again."
20585,"Good, I am so glad... you IDIOT! What were you thinking?! You could have been killed! An arrow can pierce the heart or the eyes while you stand like a pincushion!"
20590,*ahem*... I lost Khalid... to a pointless death. I'm not going... to lose you too.
20592,"Oh, shut up and let's get out of here. We'll... we'll talk later."
21397,"You'll keep your hands to yourself, lowly one, or have them cut off!"
21778,"Do not test me, rogue. I have not the patience for it."
22450,"You should go then, small one. The world is as easily accessible to you as one foot placed in front of the other."
22512,"You should rub your drunken eyes, then, human sailor. And then avert them, for you are close to offending me."
23696,"I would sooner jump into a whirlpool than to sit here for endless hours, as you must surely do."
24798,Do you also find sensual my disdain for your disgusting manner?
24802,"I could set you on fire with more than that, if you truly wish."
24804,The first thing of sense you have said. Now stay out of my way.
24836,"That you live in poverty is gratifying, if you must live at all! I would suggest you change your tone. I am not in a mood for giving charity to old slavers!"
24875,I take it I am the one being addressed here?
24877,I would say you are a fool trying to sell something you do not own and a wastrel attempting to take advantage of the innocent.
24879,"It is because of dirt such as you that I do not like coming to the city. Do not speak to me again, criminal."
25320,What is this? Why do you exhibit such an unpleasant demeanor? What have my people done to deserve such hatred from you?
25322,"I lead no one to evil, human. And we elves have reason to be proud... we are an old race, far older than you."
25324,"You are a fool, human, and I've no reason to discuss anything with you further."
25458,Are... are you speaking of me? And Khalid? How do you know of this? Answer me!
25600,"You should be careful, woman... you might miss him more than you think should your wish come true."
25615,"Not all elves are ""flighty""... in their many years, they learn all too well the responsibilities and pitfalls of this world. You would do well to remember that."
25741,"Have no fear for me, my friend. I am well capable of defending myself... and punishing those who commit such acts on others!"
25783,"It is not the magic that is evil, but the purpose behind it, and the purpose of many magic users is good... something I am sure even you have benefited from somehow."
26476,"N-no, that's quite all right. Do not make a fuss."
26496,Heh...
26497,Well...
26498,What a... charming fellow. Completely insane of course. Out of his mind. Blind as a bat. No idea what he was saying.
26503,Yes. Well.
26504,Let's... let's get going shall we?
26505,Um... I...
26733,"The... the locket is lovely, by the way. Thank you."
26961,Dermin? What are you doing back here? I am glad to see you; I had thought our friendship...
26963,What are you talking about?
26965,What? Such a thing has never been done!
26967,What do you mean?
26973,"Very well, Dermin. I will think on this."
26975,"Well, that was decidedly unpleasant, and more than I wish to worry about."
26979,Of... of course. It would be senseless. It does put a different light on things though. I will give this much thought indeed.
26980,I am going to do exactly what I said I would do. I am going to think about this. All of this.
26981,I have known him a long time. He was a mentor when I had none. I will think on this a long time. All of this.
27405,Stop!
27406,Do you see him? Ready yourself.
27407,Dermin! I would speak at you!
27409,"Shut up! I said I would speak AT you! This matter is finished! I will not acknowledge this again! If you press it, I will be forced to deal with you!"
27411,"Yes, actually, and you well know it! Galvarey was no more a Harper than a treant. His actions betrayed him, and all those that followed him!"
27412,"The garish Hold, his political agendaâ€”he was merely using the weight of the Harper name to promote himself. Tell me: What did he offer you?"
27414,"Then I am better for it. Call me traitor, but I have followed the spirit of the Harpers. You are the traitor, and if the events were known, others would see!"
27416,"Of course not. Despite the ambushes, you will still be able to claim the moral high ground for your actions. What happened to you, Dermin? I do not know you."
27418,At the cost of the innocents. That is always the way.
27420,It certainly disrupted you. The innocents also include Harpers that have died thinking they were fighting for the right cause. Galvarey's cause. Your cause.
27422,"As was yours, though I suspect you have been gone for years."
27424,"Save it, Dermin. I have no more guilt about facing you or any other sent on this fool's crusade. You are the betrayers, not I. I know this in my heart."
27426,"I did not wish to do this. I did not. We are in the right, <CHARNAME>, but why does it still hurt?"
27430,"Heh, you and your jokes make me smile far too often, even when I do not want to. People will think I am getting soft."
27433,"Haha! Shush you! I'm supposed to be feeling bad about this whole thing. Oh, let's just get moving."
27434,*snicker*
27435,"I've sat through all of your little plots and plans. The least you can do is toss me a bone now and then. Yeesh, take <PRO_HISHER> thunder for one conversation and <PRO_HESHE> gets all touchy."
27436,Let's get out of here. We've still got things to do.
27437,"Yes, yes, you do what you can, not always what you want. The Big Little Book of Alaundo, right? Insightful."
27438,"I am sorry, <CHARNAME>, I shouldn't be taking my anger out on you. Let's just get moving. I'll be all right in a while."
27439,"Heh, a wise move. I will not have this situation made trite. I may be in a foul mood for a while, you understand? Yes, I think you do. Thank you."
27863,"Are you trying to tell me, bard, that you do not remember us? You were working for that evil sorceress, Silke, when we ran into you."
27865,"Well, you didn't have many thoughts in your head then, and it is obvious you do not have many now."
28450,"Perhaps you should go and soak your head within a bucket, guard, before you attempt to address me again."
29651,"Obviously, if I did have a problem, you would be the very last person I would be speaking to, you selfish and close-minded fool."
30033,You Amnian are too closed-minded about the demihuman kin that live amongst you in peace... they are not so different from you as you seem to think.
30059,"You certainly are not! And perhaps you should think, sir, before you speak such insults so candidly."
33335,"Too... weak... I feel the curse within... Damn you, Ployer! I'll be cured yet..."
33663,"Her cause seems just, and she is druid kin of a sort. Let us do our best to aid."
34526,"I will find my own way, and... *cough*... and damned if I won't live to see you die on this path you've chosen. Ah, I will waste no more breath on you!"
34528,You wish me gone! Iâ€” *cough* I shall seek help on my own. A word before I go: Beware your friends. No doubt they will eventually treat you as you treat them.
34529,"He was irredeemable when he was on trial. He lives because he ""donated"" to the state. I will make good use of our next meeting, but not just because of his attack."
38634,"No! You do not know. This is not the time for this conversation, child."
38636,"What are you babbling about, Imoen? I am not in the mood."
38638,You saw this? You watched as it was done?
38640,"Stop, I don't want to hear this."
38642,"Be quiet, child! No more!"
38644,"You've seen some horrible things best forgotten. We all have, in our day. This will pass when we... avenge the fallen and... bury this son of a bitch."
38646,Imoen! Enough! Let's go!
38675,"We have done nothing to you. I see that you are an elf... We are prisoners here, as are you. Perhaps if we couldâ€”"
38676,"Nonsense, he was secretive with everyone. We just had... mutual acquaintances."
38692,"So... I see we have a name for our captor at last. Irenicus, is it? Tell me, dryads, why this Irenicus would go to such lengths to keep you three here?"
38699,"Surely you won't refuse them the chance to return to their forest, <CHARNAME>? It takes no effort from us and would be a kindness to them. Think it over."
38720,"It is monstrous that one would do such a thing to a servant, to lock him away in an eternity of pain. It offends nature."
38726,"Nature does not intend her creations to live past their allotted time. Certainly not this forgotten servant, tormented and then left for dead, but not dead."
38729,"I wonder how this master came to live such a life that he abandons much of it? The fault of ill-considered magic, no doubt. We shall see when we find him."
38742,"<CHARNAME> will do as <PRO_HESHE> decides is best. While kind enough to give the beggar a coin, there is no need for <PRO_HIMHER> to give away everything <PRO_HESHE> owns."
38761,"For shame, <CHARNAME>, that you could speak to a child so. Have you no compassion for the helpless?"
38773,"Take care, <CHARNAME>. I have heard of these Cowled Wizards. Spellcasters of the highest order, the only magic-users allowed here in Amn, I believe."
38862,"Greetings to you, good sir. I trust all is well?"
38864,"I am not here in an official capacity, suspicious one. There is no need to worry."
38877,"The gnome is dead. How he was able to perform these great feats of illusion will have to remain a mystery, it seems."
38920,"That was unbecoming of you, <CHARNAME>, to be so forceful with one of such a lesser station. But I suppose you shall do as you wish regardless."
38941,"It sounds like there is a trade of flesh going on, <CHARNAME>, but questioning this man will get us nowhere. Perhaps a more thorough inquiry is called for."
38944,"I doubt this man is a prisoner, <CHARNAME>. More likely a slave, prohibitions notwithstanding. A revolting practice wherever it is carried out."
39178,"There is nothing wrong with a noble task duly undertaken. And perhaps it will be enjoyable to see you in a greener setting, dwarf."
39181,"I hope you intend to go to this village soon, <CHARNAME>. A visit to greener lands would be welcome after our trek through this crowded city."
39282,"You may wish to reconsider your refusal, <CHARNAME>. This may be a way to overcome the slavers here for good. It is the honorable path, if you are interested."
39362,"Do not overly concern yourself with the pursuit of precious metals alone, Korgan. There are other matters that we must consider here."
39364,"Ah, a chance to strike at the heart of slavery here in Athkatla. Think of it, <CHARNAME>; you could make a difference, if you wish. At least for a while."
39372,"A thoroughly despicable man... and an equally despicable place. This is the sort of thing that comes naturally with civilization, it seems."
39398,"No, he is not. He has no interest in anything you might have to sell, woman."
39402,"Druids would not attack a town without cause. It would be a very extreme reaction, <CHARNAME>, and is definitely something we should investigate."
39413,"You will not, Korgan. There is a disturbance in nature that we are to restore... I will not have you swinging about, heedless of the consequences."
39414,"You may wish to reconsider, Korgan. Doves can carry several diseases, and I wouldn't wish you vomiting and cramps simply for being an ignorant lout."
39415,"You're welcome to try, but you are not the only one trained in martial skill. Remember that in the forest, you are in my domain and at an extreme disadvantage."
39422,"I thought such childish antics to be above you, <CHARNAME>. But if it makes you feel better, I suppose I cannot stop you."
39424,"I cannot believe you would partake in such cruelty, <CHARNAME>. I refuse to watch this."
39590,"So... I see we have a name for our captor at last. Irenicus, is it? Tell me, dryads, why this Irenicus would go to such lengths to keep you three here?"
40725,"Get your hands off me! So help me, I'll..."
42212,"Where are the mirrors, the switches to pull to show where he is hidden...? *sob* Khalid...!"
42213,Damn... damn you...
42214,I... no.
42218,Damn you! I will have the heart of who has done this! I will tear their blackened heart from their... I will...
42219,Shut up! No more words! Words are nothing!
42221,Stranger! Nobody! I will not hear your words! Leave me!
42223,"No words! No more words! Save your speeches, save your proverbs! The only voice I wish to hear is... is dead! No more! No..."
42224,Imbecile! Affront to nature! What do you and your rodent know?! What can you know?!
42225,No...
42226,"Khalid of my heart, let my love... my love guide the way..."
42227,"Khalid? Silvanus, let him hear my vow... If I must, I shall empty this city of all within to find his killer... So do I swear."
42231,"It is my wont to do this, and I shall see that it is done properly. If you would assist, more the better. If not, be prepared to stand aside."
44178,"She seems distant. Those are not Imoen's eyes. Not the one we knew, anyway."
47077,"An excellent warning, if vague. I shall think on your words, though I doubt I shall alter my course. What will come will come."
48466,"Have you no sense of charity, dwarf? What is the sense of freeing such children only to subject them to starvation and destitution, then?"
48475,"Really, <CHARNAME>, couldn't you have spared a little gold for the child? You may have rescued them only to subject them to starvation and worse."
48480,"And one wonders how long you have been able to hide your arrogance and disregard behind a semblance of honor, Anomen. Helm would disapprove, I think."
48481,"I do not fear you, knight! Any moment you wish to meet on the field of battle, I will be there!"
48485,"It comes as no surprise to me that an immoral dwarf such as you has a heart of stone, Korgan. I simply expect better from <CHARNAME>."
48491,"That you did, <CHARNAME>, but there is a responsibility that comes with such actions as well. You might decide to ponder that at some point in the future."
48512,"How sad, to have been kept prisoner in such a state. And by what? The presence in the sword? It does not make sense."
48515,"A puzzle, obviously. We must find the four things spoken of to unlock whatever mystery is hidden here. Who would hide something in such a fashion, I wonder?"
48530,I think it would be an excellent idea to get outside of the city and administer justice on such evil creatures. Tyranny is best matched with equal force.
48534,"I've fought many an ogre in the past, dwarf, and many other powerful evil creatures aside from such. You should be wary that I do not add you to the list."
48551,"Ah, Gorion once said that he and some Harpers dealt a humiliating blow to a dragon in the Stormhorn Mountains. I was not aware this was the same one."
48573,"I am sure you have your reasons, <CHARNAME>, but be not quick to turn down an offer of sanctuary. I am not eager to battle paladins without need."
48592,"Indeed. They seek your agreement before telling you what they wish you to do. The Cowled Wizards are not to be trusted, <CHARNAME>, as you well know."
48599,"While surely all murderers must be brought to task, I wonder what manner of justice the Cowled Wizards would apply. It is something to consider."
48630,"We will have to be careful with the Cowled Wizards now at our heels. But it is a righteous cause, and another companion to stand at our side is always welcome."
48645,"And well you should be. This is coward's work, despicable to the core."
